## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
Slc6a4	10	2	141	578
Krt8	10	0	141	237
Ncr1	10	3	141	931
Ascl1	10	-7	141	-34
Mbp	10	2	141	578
Ngfr	10	-2	141	84
Per2	10	-7	141	-34
Prox1	10	-5	141	5
Ptch1	10	-6	141	-15
S100a9	10	0	141	237
Slc1a3	10	-2	141	84
Smarca4	10	-4	141	23
Sod2	10	4	141	1603
Sox6	10	10	141	4667
Srebf1	10	0	141	237
Vcam1	10	3	141	931
Xbp1	10	1	141	379
Xcr1	10	3	141	931
Il22	10	-5	141	5
Fgf21	10	-3	141	50
Trpm7	10	2	141	578
Arl13b	10	0	141	237
Commd10	10	-6	141	-15
Dicer1	10	2	141	578
Trpv1	10	-23	141	-119
Xist	10	-2	141	84
Batf3	10	1	141	379
Mir21a	10	-8	141	-45
Abca1	9	3	184	1560
Actb	9	-1	184	194
Adora2a	9	1	184	535
Parp1	9	-5	184	-20
Adrb2	9	-1	184	194
Aqp4	9	-3	184	41
Bcl6	9	-1	184	194
Fabp7	9	2	184	888
C1qa	9	3	184	1560
Calb2	9	-3	184	41
Camk2a	9	0	184	336
Casp4	9	0	184	336
Cav1	9	0	184	336
Cd36	9	-3	184	41
Cd38	9	3	184	1560
Cdkn2a	9	-5	184	-20
Cdx2	9	2	184	888
Ctcf	9	-3	184	41
Dcx	9	-3	184	41
Dyrk1a	9	3	184	1560
E2f1	9	-3	184	41
En1	9	-3	184	41
Lgr5	9	-11	184	-111
Fgfr1	9	2	184	888
Fos	9	-4	184	7
Gli3	9	4	184	2802
Gnaq	9	9	184	4624
Grin2b	9	2	184	888
Hspa5	9	0	184	336
H19	9	0	184	336
Foxg1	9	-4	184	7
H2ax	9	-7	184	-58
Hmgb1	9	-13	184	-126
Il12b	9	2	184	888
Ins1	9	-3	184	41
Itgb1	9	-5	184	-20
Jag1	9	1	184	535
Jun	9	0	184	336
Kdr	9	-7	184	-58
Klf4	9	-2	184	109
Lcn2	9	1	184	535
Lef1	9	-5	184	-20
Lmna	9	-9	184	-88
Lrp1	9	-2	184	109
Smad3	9	-5	184	-20
Smad4	9	2	184	888
Mesp1	9	4	184	2802
Met	9	-4	184	7
Mmp9	9	0	184	336
Nes	9	-8	184	-77
Nefm	9	-4	184	7
Ntrk2	9	-5	184	-20
Oprm1	9	0	184	336
Pcna	9	2	184	888
Pde4b	9	2	184	888
Per1	9	-6	184	-38
Pik3ca	9	0	184	336
Phox2b	9	4	184	2802
Ppargc1a	9	-12	184	-117
Prkdc	9	1	184	535
Ptf1a	9	-6	184	-38
Ptgs2	9	-1	184	194
Robo1	9	9	184	4624
Rorc	9	-3	184	41
Scn10a	9	-1	184	194
Ccl2	9	-4	184	7
T	9	0	184	336
Thbs1	9	-1	184	194
Tnc	9	-1	184	194
Tnfrsf1a	9	-2	184	109
Tnnt2	9	-2	184	109
Tyr	9	5	184	4132
Ulk1	9	-1	184	194
Wnt5a	9	-7	184	-58
Mapk14	9	-6	184	-38
Mapk8	9	-2	184	109
Nox4	9	-9	184	-88
Sirt2	9	2	184	888
Pycard	9	-1	184	194
Slc17a7	9	-6	184	-38
Ndor1	9	-13	184	-126
Nedd4l	9	0	184	336
Cdc20	9	9	184	4624
Grm5	9	-2	184	109
Xrcc4	9	2	184	888
Ogt	9	-5	184	-20
Foxp2	9	-10	184	-97
Sp7	9	-2	184	109
Mavs	9	3	184	1560
Tardbp	9	0	184	336
Piezo1	9	-2	184	109
Nefh	9	-1	184	194
Mir155	9	-5	184	-20
Gsk3a	9	9	184	4624
Chrna7	8	0	278	441
Adipoq	8	-5	278	-87
Ak1	8	8	278	4530
Alox5	8	0	278	441
Atg5	8	-8	278	-152
Aqp5	8	1	278	794
Atf3	8	-2	278	100
Atm	8	0	278	441
Axin2	8	-8	278	-152
Bcl2	8	2	278	1466
Bhmt	8	8	278	4530
Bsn	8	4	278	4038
C3	8	-3	278	15
Capn1	8	1	278	794
Casp8	8	0	278	441
Ctnna1	8	2	278	1466
Runx1	8	-5	278	-87
Cck	8	0	278	441
Cd1d1	8	2	278	1466
Cd4	8	1	278	794
Cd79a	8	-2	278	100
Cdc42	8	-3	278	15
Cebpa	8	1	278	794
Cenpb	8	8	278	4530
Cited1	8	2	278	1466
Cxcr2	8	-1	278	242
Cxcr3	8	-2	278	100
Cxcr4	8	-12	278	-205
Crhr1	8	3	278	2708
Ctsb	8	3	278	2708
Cux1	8	-11	278	-191
Slc6a3	8	-12	278	-205
Dpp4	8	-4	278	-53
S1pr1	8	0	278	441
Edil3	8	-5	278	-87
Egr1	8	-1	278	242
Eif4e	8	0	278	441
Eif4ebp2	8	3	278	2708
Adgre1	8	-2	278	100
Epas1	8	-8	278	-152
Epha4	8	3	278	2708
Ephx2	8	1	278	794
Erbb4	8	3	278	2708
Erg	8	1	278	794
Fgf8	8	-2	278	100
Foxm1	8	0	278	441
Gata4	8	-4	278	-53
Gcg	8	-9	278	-171
Ptgdr2	8	3	278	2708
Hba	8	-3	278	15
Hbb	8	-5	278	-87
Htt	8	1	278	794
Foxf1	8	1	278	794
Hmox1	8	-12	278	-205
Nr4a1	8	-2	278	100
Prmt1	8	1	278	794
Irf8	8	1	278	794
Ifnb1	8	-1	278	242
Il11	8	3	278	2708
Il13	8	-3	278	15
Il17ra	8	1	278	794
Il1a	8	4	278	4038
Ins2	8	-12	278	-205
Jak2	8	-7	278	-132
Kl	8	-2	278	100
Kpna1	8	8	278	4530
Mafb	8	0	278	441
Lbx1	8	1	278	794
Lmx1b	8	-1	278	242
Il1rl1	8	-1	278	242
Smad1	8	-9	278	-171
Smad5	8	-9	278	-171
Mdm4	8	2	278	1466
Mertk	8	-4	278	-53
Cxcl9	8	1	278	794
Mmp12	8	8	278	4530
Mstn	8	0	278	441
Myo10	8	0	278	441
Ndn	8	8	278	4530
Nkx2-5	8	-3	278	15
Nos2	8	-2	278	100
Notch2	8	-1	278	242
Odc1	8	1	278	794
Omp	8	1	278	794
Sigmar1	8	0	278	441
Osmr	8	2	278	1466
Oxt	8	-3	278	15
Pdcd4	8	3	278	2708
Pde9a	8	8	278	4530
Pde6b	8	-3	278	15
Pgr	8	-1	278	242
Plcg1	8	2	278	1466
Pou5f1	8	-11	278	-191
Prph	8	8	278	4530
Ptpn5	8	3	278	2708
Rad51	8	0	278	441
Rb1	8	-1	278	242
Rbpj	8	2	278	1466
Ren1	8	2	278	1466
Ret	8	-3	278	15
Rgs5	8	1	278	794
Polr2a	8	-4	278	-53
Rps6	8	-1	278	242
Nr1h4	8	-6	278	-114
S100a4	8	-2	278	100
Scx	8	0	278	441
Ccl5	8	2	278	1466
Cxcl2	8	8	278	4530
Six2	8	-1	278	242
Slc1a5	8	8	278	4530
Slc2a1	8	-4	278	-53
Snap25	8	-1	278	242
Sod1	8	-9	278	-171
Sod3	8	-1	278	242
Sox1	8	4	278	4038
Sox11	8	-3	278	15
Sox4	8	0	278	441
Sparc	8	0	278	441
Stat2	8	2	278	1466
Stat6	8	0	278	441
Stk11	8	0	278	441
Stxbp1	8	8	278	4530
Tbx1	8	-2	278	100
Tcf4	8	-2	278	100
Ift88	8	-4	278	-53
Cd27	8	8	278	4530
Tnfsf11	8	-10	278	-182
Traf3	8	-2	278	100
Scgb1a1	8	0	278	441
Kdm6a	8	0	278	441
Vim	8	-4	278	-53
Wee1	8	8	278	4530
Tnfsf13b	8	-2	278	100
Irf5	8	3	278	2708
Tlx3	8	1	278	794
Abcc6	8	1	278	794
Pttg1	8	1	278	794
Pik3cg	8	1	278	794
Lats2	8	1	278	794
Sirt6	8	-3	278	15
Fbxo6	8	8	278	4530
Keap1	8	2	278	1466
Olig1	8	1	278	794
Tet1	8	0	278	441
Reck	8	3	278	2708
Gsdme	8	-1	278	242
Smad9	8	-4	278	-53
Becn1	8	-6	278	-114
Txnip	8	-5	278	-87
Tbk1	8	-4	278	-53
Zbtb20	8	-5	278	-87
Klk4	8	8	278	4530
Brd4	8	-1	278	242
Cxcl14	8	8	278	4530
Tbx21	8	0	278	441
Ghrl	8	1	278	794
Ngly1	8	3	278	2708
Il21r	8	8	278	4530
Gpr88	8	8	278	4530
Crip2	8	8	278	4530
Pink1	8	-5	278	-87
Cdc5l	8	8	278	4530
Cul4b	8	0	278	441
Ppme1	8	8	278	4530
Atat1	8	4	278	4038
Cyld	8	2	278	1466
Mlkl	8	-8	278	-152
Sirt4	8	8	278	4530
Gper1	8	2	278	1466
Kidins220	8	8	278	4530
Hdac9	8	2	278	1466
Tlr9	8	-1	278	242
Trem2	8	-17	278	-234
Gpnmb	8	3	278	2708
Wwtr1	8	-5	278	-87
Clp1	8	8	278	4530
Prkaa1	8	-7	278	-132
Cenpf	8	8	278	4530
Braf	8	-6	278	-114
Grk2	8	1	278	794
Mfn2	8	-3	278	15
Pfkfb3	8	0	278	441
Asic3	8	8	278	4530
Ghsr	8	1	278	794
Shank2	8	2	278	1466
Myocd	8	8	278	4530
Mcu	8	-1	278	242
Arrb2	8	-4	278	-53
Nr1d1	8	-1	278	242
Cd300a	8	2	278	1466
Engase	8	8	278	4530
Tasor	8	8	278	4530
Rapgef3	8	0	278	441
Zc3h12a	8	-1	278	242
Fbxo2	8	8	278	4530
Slc9a6	8	8	278	4530
Sarm1	8	-2	278	100
Rpl23a	8	8	278	4530
Robo2	8	2	278	1466
Epb41	8	3	278	2708
Ep300	8	1	278	794
Aim2	8	-4	278	-53
Mir132	8	2	278	1466
Mir195a	8	3	278	2708
Mir203	8	2	278	1466
Mir26a-1	8	1	278	794
Mir30a	8	-2	278	100
Mir125b-1	8	-1	278	242
Ccdc141	8	8	278	4530
Gpx4	8	1	278	794
Piezo2	8	2	278	1466
Mir361	8	8	278	4530
Mir486	8	1	278	794
Abcg1	7	7	491	4317
Asic2	7	7	491	4317
Adam10	7	-3	491	-113
Adam17	7	-5	491	-266
Adm	7	0	491	581
Parp2	7	7	491	4317
Ager	7	-5	491	-266
Angpt1	7	1	491	1253
Agt	7	-2	491	29
Agtr2	7	-3	491	-113
Aire	7	-2	491	29
Mat1a	7	7	491	4317
Birc5	7	-1	491	228
Rhoa	7	-5	491	-266
Avp	7	-5	491	-266
Bach2	7	-1	491	228
Bad	7	1	491	1253
Bcl2l11	7	7	491	4317
Brca1	7	-4	491	-198
Brca2	7	2	491	2495
Btk	7	2	491	2495
Cacna1d	7	2	491	2495
Pdia4	7	7	491	4317
Anxa2	7	7	491	4317
Casp9	7	7	491	4317
Cast	7	7	491	4317
Cbln2	7	3	491	3825
Cbs	7	1	491	1253
Cbx3	7	1	491	1253
Ccnd2	7	-1	491	228
Ccr6	7	3	491	3825
Cd2	7	7	491	4317
Cd28	7	1	491	1253
Cd53	7	7	491	4317
Cd80	7	7	491	4317
Cdh11	7	1	491	1253
Cdh5	7	-3	491	-113
Cdk4	7	-5	491	-266
Cdk5	7	7	491	4317
Cdkn1b	7	-3	491	-113
Cebpd	7	2	491	2495
Cfl2	7	7	491	4317
Cftr	7	-4	491	-198
Chkb	7	7	491	4317
Chga	7	0	491	581
Chka	7	3	491	3825
Socs3	7	-4	491	-198
Clcn3	7	7	491	4317
Ccr4	7	1	491	1253
Ccr8	7	2	491	2495
Cnga2	7	7	491	4317
Cobl	7	2	491	2495
Coch	7	1	491	1253
Col10a1	7	-4	491	-198
Col15a1	7	7	491	4317
Col2a1	7	-6	491	-300
Col3a1	7	0	491	581
Col4a1	7	-1	491	228
Cys1	7	3	491	3825
Cpt1a	7	-1	491	228
Crh	7	-2	491	29
Dpysl2	7	7	491	4317
Cry2	7	-3	491	-113
Csf2rb	7	3	491	3825
Csf3	7	-2	491	29
Pcyt1a	7	7	491	4317
Cux2	7	-1	491	228
Cybb	7	-5	491	-266
Cyp7b1	7	7	491	4317
Dab1	7	0	491	581
Daxx	7	7	491	4317
Ddit3	7	-5	491	-266
Ddx4	7	-6	491	-300
Dll1	7	0	491	581
Dlx1	7	0	491	581
Dlx5	7	-5	491	-266
Dnah11	7	7	491	4317
Dync1h1	7	1	491	1253
Dnmt1	7	-4	491	-198
Dpep1	7	7	491	4317
Drd5	7	1	491	1253
Dyrk1b	7	7	491	4317
Sparcl1	7	2	491	2495
Ednra	7	0	491	581
Efnb3	7	7	491	4317
Egr2	7	-1	491	228
En2	7	0	491	581
Epha2	7	1	491	1253
Ephb2	7	-1	491	228
Ephb4	7	3	491	3825
Erbb2	7	2	491	2495
Esr1	7	-4	491	-198
Esr2	7	-2	491	29
Mecom	7	2	491	2495
F2rl1	7	2	491	2495
Fgf10	7	-3	491	-113
Fgfr3	7	1	491	1253
Foxf2	7	1	491	1253
Foxl1	7	4	491	4278
Lpin1	7	2	491	2495
Fstl1	7	0	491	581
Fth1	7	7	491	4317
G6pdx	7	0	491	581
Slc6a12	7	1	491	1253
Gamt	7	7	491	4317
Gap43	7	-1	491	228
Gapdh	7	2	491	2495
Gata1	7	3	491	3825
Gata6	7	-3	491	-113
Gfi1b	7	7	491	4317
Gfra2	7	7	491	4317
Gja5	7	2	491	2495
Gjc1	7	2	491	2495
Gjb1	7	-1	491	228
Gjb2	7	0	491	581
Gjb4	7	7	491	4317
Gjb5	7	7	491	4317
Gclc	7	7	491	4317
Gli2	7	0	491	581
Gnai2	7	0	491	581
Gnmt	7	7	491	4317
Lrp2	7	1	491	1253
Gpr37	7	1	491	1253
Adgrg1	7	2	491	2495
Gria1	7	-2	491	29
Gria2	7	-1	491	228
Grin1	7	-1	491	228
Grm1	7	2	491	2495
Grn	7	-4	491	-198
Cxcl1	7	0	491	581
Grpr	7	7	491	4317
H2-Aa	7	7	491	4317
Cfb	7	0	491	581
Hand1	7	-3	491	-113
Hba-a1	7	1	491	1253
Hba-x	7	7	491	4317
Hbb-b2	7	-1	491	228
Hbb-y	7	7	491	4317
Hes1	7	-7	491	-327
Foxn1	7	-2	491	29
Foxj1	7	-4	491	-198
Hmox2	7	7	491	4317
Hoxa9	7	7	491	4317
Hoxb13	7	7	491	4317
Hoxb7	7	7	491	4317
Hoxd12	7	2	491	2495
Hsf1	7	-1	491	228
Hspb1	7	1	491	1253
Id2	7	-1	491	228
Ifit3	7	7	491	4317
Ifngr2	7	7	491	4317
Igh-J	7	-1	491	228
Il12a	7	1	491	1253
Il15ra	7	1	491	1253
Il16	7	7	491	4317
Il1r1	7	0	491	581
Irak1	7	1	491	1253
Il3	7	1	491	1253
Il6ra	7	0	491	581
Il9	7	7	491	4317
Inhba	7	0	491	581
Insr	7	-1	491	228
Irf4	7	-1	491	228
Irx3	7	-3	491	-113
Isl1	7	-17	491	-443
Itgam	7	0	491	581
Itpr1	7	7	491	4317
Itpr2	7	-3	491	-113
Jak1	7	0	491	581
Jak3	7	-2	491	29
Kcnj10	7	7	491	4317
Kcnj15	7	7	491	4317
Kcnj16	7	7	491	4317
Kcnj3	7	1	491	1253
Kcnj8	7	2	491	2495
Kcnk1	7	7	491	4317
Kif13b	7	7	491	4317
Kit	7	-11	491	-395
Klf1	7	7	491	4317
L1cam	7	-2	491	29
Lag3	7	0	491	581
Laptm5	7	7	491	4317
Lats1	7	-1	491	228
Lcat	7	7	491	4317
Lep	7	-8	491	-345
Lgals3	7	-3	491	-113
Lgals7	7	7	491	4317
Lhx2	7	-5	491	-266
Lipa	7	2	491	2495
Lum	7	1	491	1253
Lyl1	7	7	491	4317
Smad7	7	-2	491	29
Mag	7	7	491	4317
Mef2c	7	-1	491	228
Mef2d	7	7	491	4317
Mitf	7	1	491	1253
Mlh1	7	-1	491	228
Mmp14	7	1	491	1253
Cd200	7	-1	491	228
Mrc1	7	-1	491	228
Msh2	7	2	491	2495
Msi1	7	3	491	3825
Msx1	7	-3	491	-113
Mthfd2	7	7	491	4317
Mthfr	7	-1	491	228
Muc2	7	-1	491	228
Myf5	7	-4	491	-198
Myh11	7	1	491	1253
Ncl	7	7	491	4317
Ncoa3	7	-1	491	228
Nfix	7	1	491	1253
Ngf	7	7	491	4317
Nkx6-1	7	1	491	1253
Nqo1	7	1	491	1253
Nnat	7	2	491	2495
Uhrf1	7	-4	491	-198
Npy2r	7	1	491	1253
Nrp2	7	1	491	1253
Ntrk3	7	-2	491	29
Ntsr1	7	1	491	1253
Dusp8	7	7	491	4317
Numb	7	0	491	581
Nxn	7	7	491	4317
Oprd1	7	1	491	1253
Sqstm1	7	-6	491	-300
P4hb	7	2	491	2495
Pax1	7	7	491	4317
Pax2	7	-13	491	-418
Pax3	7	-1	491	228
Pdha1	7	7	491	4317
Padi4	7	-1	491	228
Pdx1	7	-3	491	-113
Pemt	7	7	491	4317
Penk	7	-3	491	-113
Pfn1	7	2	491	2495
Prf1	7	7	491	4317
Abcb1b	7	1	491	1253
Abcb1a	7	1	491	1253
Slc25a3	7	7	491	4317
Pitx2	7	-4	491	-198
Pkd2	7	1	491	1253
Plau	7	7	491	4317
Pld3	7	3	491	3825
Plp1	7	1	491	1253
Pou3f3	7	1	491	1253
Ppara	7	-4	491	-198
Ppy	7	0	491	581
Prkg1	7	7	491	4317
Prnp	7	1	491	1253
Lgmn	7	1	491	1253
Ptger3	7	7	491	4317
Ptprc	7	-2	491	29
Rab23	7	7	491	4317
Rab7	7	-1	491	228
Rac1	7	-4	491	-198
Rbl1	7	7	491	4317
Rel	7	-3	491	-113
Relb	7	0	491	581
Rest	7	-1	491	228
Rn7sk	7	7	491	4317
Rtn3	7	2	491	2495
Ryr3	7	7	491	4317
Sat1	7	7	491	4317
Scn1a	7	-4	491	-198
Scnn1g	7	7	491	4317
Ccl11	7	7	491	4317
Selplg	7	1	491	1253
Sftpc	7	-2	491	29
Shmt1	7	7	491	4317
Six1	7	-3	491	-113
Slc18a3	7	1	491	1253
Slc2a2	7	1	491	1253
Slit2	7	1	491	1253
Smarcc1	7	-2	491	29
Snai1	7	-4	491	-198
Sox17	7	-1	491	228
Sphk1	7	-1	491	228
Scarb1	7	-4	491	-198
Srf	7	2	491	2495
Sult1e1	7	7	491	4317
Aurkb	7	-4	491	-198
Aurka	7	-5	491	-266
Stx1a	7	1	491	1253
Sycp3	7	-4	491	-198
Sdc1	7	1	491	1253
Tal1	7	0	491	581
Cntn2	7	1	491	1253
Tbx5	7	-3	491	-113
Tbx6	7	7	491	4317
Tcf21	7	-1	491	228
Tcf7	7	-3	491	-113
Tfap2a	7	-5	491	-266
Tfeb	7	-5	491	-266
Tead1	7	1	491	1253
Terf2	7	7	491	4317
Tgfbr1	7	-1	491	228
Thrb	7	1	491	1253
Tiam1	7	7	491	4317
Tjp1	7	-15	491	-433
Tnfaip1	7	7	491	4317
Tnfrsf18	7	0	491	581
Trip6	7	1	491	1253
Trpc2	7	4	491	4278
Uchl1	7	-1	491	228
Ucp1	7	-11	491	-395
Ucp2	7	1	491	1253
Cdh23	7	1	491	1253
Vegfc	7	1	491	1253
Ezr	7	1	491	1253
Vipr2	7	-1	491	228
Wnt8b	7	2	491	2495
Xk	7	7	491	4317
Ywhae	7	2	491	2495
Zbtb7b	7	0	491	581
Zfpm1	7	7	491	4317
Ikzf1	7	0	491	581
Ikzf2	7	7	491	4317
Agr2	7	2	491	2495
Dand5	7	7	491	4317
Fyb	7	1	491	1253
Gdf15	7	1	491	1253
Katna1	7	1	491	1253
Nr2e3	7	2	491	2495
Nt5e	7	-1	491	228
Osr1	7	1	491	1253
Sufu	7	7	491	4317
Wif1	7	2	491	2495
Adgre5	7	7	491	4317
Ceacam1	7	1	491	1253
Map2k4	7	7	491	4317
Map2k7	7	7	491	4317
Ror2	7	0	491	581
Dysf	7	7	491	4317
Aifm1	7	1	491	1253
Klrk1	7	1	491	1253
Nsun2	7	2	491	2495
Trpm2	7	3	491	3825
Ulk2	7	7	491	4317
Opn4	7	-3	491	-113
Elane	7	1	491	1253
Il27ra	7	0	491	581
Cisd1	7	1	491	1253
Pgrmc1	7	4	491	4278
Stx7	7	7	491	4317
Rab11a	7	-1	491	228
Unc93b1	7	3	491	3825
Hpgds	7	7	491	4317
Syt10	7	7	491	4317
Nphs1	7	2	491	2495
Fezf2	7	-2	491	29
Sfn	7	1	491	1253
Stk3	7	2	491	2495
Rrad	7	7	491	4317
Kcnip3	7	7	491	4317
Foxo3	7	-10	491	-384
Ikbke	7	1	491	1253
Tspan6	7	7	491	4317
Cacna2d2	7	1	491	1253
Olfr1507	7	7	491	4317
Park7	7	-2	491	29
Crlf2	7	7	491	4317
Zbp1	7	1	491	1253
Stk25	7	7	491	4317
Emcn	7	-2	491	29
Trpv4	7	-9	491	-365
Smoc2	7	1	491	1253
Clstn2	7	7	491	4317
Gpr35	7	0	491	581
Bhmt2	7	7	491	4317
Vps35	7	1	491	1253
Klf15	7	0	491	581
Smim8	7	7	491	4317
Lrrk2	7	-3	491	-113
Etfdh	7	7	491	4317
Tril	7	2	491	2495
Pcyox1	7	7	491	4317
Cisd2	7	1	491	1253
Mmachc	7	-1	491	228
Nde1	7	7	491	4317
Slc39a8	7	7	491	4317
4930558C23Rik	7	7	491	4317
Ppid	7	0	491	581
Aadac	7	7	491	4317
Camsap2	7	1	491	1253
Cby2	7	7	491	4317
Tctn2	7	7	491	4317
Lmbrd1	7	0	491	581
Card19	7	7	491	4317
Trpm4	7	-3	491	-113
Pcyt2	7	7	491	4317
Cd177	7	7	491	4317
Dyrk2	7	7	491	4317
Slc16a13	7	7	491	4317
Camsap3	7	0	491	581
Med30	7	7	491	4317
Crtc3	7	1	491	1253
4921539E11Rik	7	7	491	4317
Zdhhc11	7	7	491	4317
Optn	7	-1	491	228
Pdia6	7	7	491	4317
Mad2l2	7	7	491	4317
Nanog	7	-4	491	-198
Tmem163	7	0	491	581
Malat1	7	1	491	1253
Zfp618	7	7	491	4317
Dcbld2	7	7	491	4317
Hvcn1	7	2	491	2495
Dmgdh	7	7	491	4317
Opa1	7	-2	491	29
Unkl	7	7	491	4317
Elp3	7	2	491	2495
Atg7	7	-5	491	-266
Crtc2	7	0	491	581
Sost	7	-4	491	-198
Tomm20l	7	7	491	4317
Fggy	7	7	491	4317
Eif4b	7	3	491	3825
Tsen54	7	7	491	4317
Sun5	7	7	491	4317
Prss8	7	7	491	4317
Msi2	7	7	491	4317
Myh10	7	-2	491	29
Tmem210	7	7	491	4317
1700057G04Rik	7	7	491	4317
Nrip3	7	7	491	4317
Cstad	7	7	491	4317
Galnt15	7	7	491	4317
Rictor	7	-2	491	29
Slc26a5	7	0	491	581
Ankrd17	7	7	491	4317
Tex11	7	2	491	2495
Bicc1	7	3	491	3825
Slc25a2	7	7	491	4317
Mcam	7	-2	491	29
Hamp	7	-2	491	29
Pard3	7	-2	491	29
Vangl2	7	-5	491	-266
Hemgn	7	7	491	4317
Adarb2	7	7	491	4317
Hecw1	7	7	491	4317
Prg4	7	7	491	4317
Cul4a	7	2	491	2495
Wdr47	7	7	491	4317
Pcsk9	7	0	491	581
Noc4l	7	7	491	4317
Acacb	7	2	491	2495
Slc25a41	7	7	491	4317
Meig1	7	7	491	4317
Bap1	7	-1	491	228
Pld4	7	7	491	4317
Ldhal6b	7	7	491	4317
Stap2	7	3	491	3825
Wwp1	7	1	491	1253
Nod1	7	1	491	1253
Aldh1l1	7	-1	491	228
Ankrd1	7	2	491	2495
Shmt2	7	7	491	4317
