#name	chromosome	start	length	color	full_name	citations_from_2021_02_10_to_2021_07_15	significance
PLXNB2	15	89039749	25242	#73af42	plexin B2	8	
ZBTB20	16	43067647	371839	#73af42	zinc finger and BTB domain containing 20	8	
CD200	16	45202498	26918	#73af42	CD200 antigen	8	
DLL1	17	15587618	9576	#73af42	delta like canonical Notch ligand 1	8	
TSC2	17	24814790	36811	#73af42	TSC complex subunit 2	8	
AIF1	17	35389962	5066	#73af42	allograft inflammatory factor 1	8	
TNF	17	35418343	2640	#73af42	tumor necrosis factor	8	
POU5F1	17	35819704	1970	#73af42	POU domain, class 5, transcription factor 1	8	
RUNX2	17	44914876	210808	#73af42	runt related transcription factor 2	8	
CTNNA1	18	35251965	135863	#73af42	catenin (cadherin associated protein), alpha 1	8	
COMMD10	18	47091943	129118	#73af42	COMM domain containing 10	8	
CAMK2A	18	61096626	24598	#73af42	calcium/calmodulin-dependent protein kinase II alpha	8	
TRPM3	19	22893324	79450	#73af42	transient receptor potential cation channel, subfamily M, member 3	8	
CD274	19	29344838	20656	#73af42	CD274 antigen	8	
FGF8	19	45725237	6086	#73af42	fibroblast growth factor 8	8	
PTF1A	2	19450474	1838	#73af42	pancreas specific transcription factor, 1a	8	
GAD2	2	22512339	71550	#73af42	glutamic acid decarboxylase 2	8	
LHX3	2	26090224	8037	#73af42	LIM homeobox protein 3	8	
PRDM12	2	31530049	15758	#73af42	PR domain containing 12	8	
LHX2	2	38241320	18429	#73af42	LIM homeobox protein 2	8	
ACVR1	2	58336451	120389	#73af42	activin A receptor, type 1	8	
RAG1	2	101468599	11278	#73af42	recombination activating 1	8	
SIRPA	2	129437382	36766	#73af42	signal-regulatory protein alpha	8	
MAVS	2	131075983	13961	#73af42	mitochondrial antiviral signaling protein	8	
POSTN	3	54268528	29934	#73af42	periostin, osteoblast specific factor	8	
SMAD9	3	54663003	45687	#73af42	SMAD family member 9	8	
NTRK1	3	87685551	16918	#73af42	neurotrophic tyrosine kinase, receptor, type 1	8	
GBA	3	89110235	5945	#73af42	glucosidase, beta, acid	8	
NEUROG2	3	127426785	2495	#73af42	neurogenin 2	8	
PENK	4	4133536	5279	#73af42	preproenkephalin	8	
TNC	4	63878026	87147	#73af42	tenascin C	8	
RRAGA	4	86493910	1610	#73af42	Ras-related GTP binding A	8	
CDKN2B	4	89224526	4743	#73af42	cyclin dependent kinase inhibitor 2B	8	
ID3	4	135871133	1570	#73af42	inhibitor of DNA binding 3	8	
MIR34A	4	150152911	101	#73af42	microRNA 34a	8	
HES5	4	155045380	1448	#73af42	hes family bHLH transcription factor 5	8	
NOS3	5	24569817	19655	#73af42	nitric oxide synthase 3, endothelial cell	8	
PPARGC1A	5	51611591	113476	#73af42	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	8	
SUN1	5	139200913	34681	#73af42	Sad1 and UNC84 domain containing 1	8	
DLX5	6	6877801	4267	#73af42	distal-less homeobox 5	8	
STRA8	6	34897883	18396	#73af42	stimulated by retinoic acid gene 8	8	
SNCA	6	60708557	98282	#73af42	synuclein, alpha	8	
ATOH1	6	64706109	2120	#73af42	atonal bHLH transcription factor 1	8	
CDKN1B	6	134897364	5124	#73af42	cyclin-dependent kinase inhibitor 1B	8	
TRPM4	7	44952579	30625	#73af42	transient receptor potential cation channel, subfamily M, member 4	8	
LHB	7	45070370	908	#73af42	luteinizing hormone beta	8	
FGF21	7	45263314	1600	#73af42	fibroblast growth factor 21	8	
SLC17A6	7	51274385	46489	#73af42	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	8	
NOX4	7	86895857	152059	#73af42	NADPH oxidase 4	8	
SMPD1	7	105203567	4029	#73af42	sphingomyelin phosphodiesterase 1, acid lysosomal	8	
CALCA	7	114232526	3066	#73af42	calcitonin/calcitonin-related polypeptide, alpha	8	
GP2	7	119041760	16735	#73af42	glycoprotein 2 (zymogen granule membrane)	8	
IRS2	8	11034681	24248	#73af42	insulin receptor substrate 2	8	
CDH5	8	104828257	42877	#73af42	cadherin 5	8	
CDH1	8	107329982	66897	#73af42	cadherin 1	8	
PIEZO1	8	123208437	69631	#73af42	piezo-type mechanosensitive ion channel component 1	8	
HSPA8	9	40712572	3926	#73af42	heat shock protein 8	8	
H2AX	9	44246012	1358	#73af42	H2A.X variant histone	8	
TAGLN	9	45840926	6430	#73af42	transgelin	8	
ALDH1A2	9	71123071	80454	#73af42	aldehyde dehydrogenase family 1, subfamily A2	8	
SMARCC1	9	109961092	108154	#73af42	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	8	
MYD88	9	119165000	4084	#73af42	myeloid differentiation primary response gene 88	8	
SCN10A	9	119437522	110576	#73af42	sodium channel, voltage-gated, type X, alpha	8	
CCR2	9	123902220	6957	#73af42	chemokine (C-C motif) receptor 2	8	
FOXP3	X	7446722	14760	#73af42	forkhead box P3	8	
MECP2	X	73070198	59098	#73af42	methyl CpG binding protein 2	8	
XIST	X	102503979	22860	#73af42	inactive X specific transcripts	8	
XKR4	1	3284705	457016	#73af42	X-linked Kx blood group related 4	7	
MCM3	1	20873192	17344	#73af42	minichromosome maintenance complex component 3	7	
GLS	1	52224440	47951	#73af42	glutaminase	7	
MAP2	1	66360883	120859	#73af42	microtubule-associated protein 2	7	
CXCR2	1	74193153	7252	#73af42	chemokine (C-X-C motif) receptor 2	7	
IRS1	1	82210826	58334	#73af42	insulin receptor substrate 1	7	
EIF4E2	1	87141661	14919	#73af42	eukaryotic translation initiation factor 4E member 2	7	
TRPM8	1	88234457	82116	#73af42	transient receptor potential cation channel, subfamily M, member 8	7	
ERFE	1	91294152	7787	#73af42	erythroferrone	7	
HES6	1	91339205	2555	#73af42	hairy and enhancer of split 6	7	
PER2	1	91343704	43346	#73af42	period circadian clock 2	7	
PDCD1	1	93966027	14251	#73af42	programmed cell death 1	7	
MIR128-1	1	128130098	69	#73af42	microRNA 128-1	7	
MCM6	1	128259312	28130	#73af42	minichromosome maintenance complex component 6	7	
CXCR4	1	128515936	4100	#73af42	chemokine (C-X-C motif) receptor 4	7	
BTG2	1	134002603	4290	#73af42	BTG anti-proliferation factor 2	7	
ADORA1	1	134126953	36242	#73af42	adenosine A1 receptor	7	
MYOG	1	134217742	2544	#73af42	myogenin	7	
PRDX6	1	161067682	11098	#73af42	peroxiredoxin 6	7	
TNFSF18	1	161322226	10633	#73af42	tumor necrosis factor (ligand) superfamily, member 18	7	
ATF6	1	170532026	163314	#73af42	activating transcription factor 6	7	
KMO	1	175459759	28660	#73af42	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	7	
PARP1	1	180396456	32108	#73af42	poly (ADP-ribose) polymerase family, member 1	7	
TGFB2	1	186354989	83197	#73af42	transforming growth factor, beta 2	7	
ESRRG	1	187730024	217058	#73af42	estrogen-related receptor gamma	7	
VIP	10	5589218	8398	#73af42	vasoactive intestinal polypeptide	7	
OLIG3	10	19232287	2065	#73af42	oligodendrocyte transcription factor 3	7	
PRDM1	10	44313170	21574	#73af42	PR domain containing 1, with ZNF domain	7	
TET1	10	62640349	82754	#73af42	tet methylcytosine dioxygenase 1	7	
ATOH7	10	62935564	1495	#73af42	atonal bHLH transcription factor 7	7	
ADORA2A	10	75160692	9934	#73af42	adenosine A2a receptor	7	
SMARCB1	10	75732603	24845	#73af42	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	7	
TCF3	10	80245375	24094	#73af42	transcription factor 3	7	
PAH	10	87357657	62342	#73af42	phenylalanine hydroxylase	7	
SYCP3	10	88295449	13649	#73af42	synaptonemal complex protein 3	7	
MYF5	10	107318769	3226	#73af42	myogenic factor 5	7	
SYT1	10	108333511	513325	#73af42	synaptotagmin I	7	
MDM2	10	117524780	21883	#73af42	transformed mouse 3T3 cell double minute 2	7	
IL22	10	118040869	5082	#73af42	interleukin 22	7	
TBK1	10	121382361	40338	#73af42	TANK-binding kinase 1	7	
CDK4	10	126899404	3753	#73af42	cyclin-dependent kinase 4	7	
STAT6	10	127478855	18001	#73af42	signal transducer and activator of transcription 6	7	
TIMELESS	10	128073935	14875	#73af42	timeless circadian clock 1	7	
SMARCC2	10	128295184	31274	#73af42	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	7	
TUG1	11	3589785	9029	#73af42	taurine upregulated gene 1	7	
NEFH	11	4888756	9308	#73af42	neurofilament, heavy polypeptide	7	
XBP1	11	5470641	5352	#73af42	X-box binding protein 1	7	
SNHG15	11	6475591	3169	#73af42	small nucleolar RNA host gene 15	7	
HAND1	11	57719539	3434	#73af42	heart and neural crest derivatives expressed 1	7	
SREBF1	11	60089910	23497	#73af42	sterol regulatory element binding transcription factor 1	7	
MYH2	11	67061853	26490	#73af42	myosin, heavy polypeptide 2, skeletal muscle, adult	7	
MYH1	11	67090928	24473	#73af42	myosin, heavy polypeptide 1, skeletal muscle, adult	7	
MYH4	11	67128638	22635	#73af42	myosin, heavy polypeptide 4, skeletal muscle	7	
HES7	11	69011279	2806	#73af42	hes family bHLH transcription factor 7	7	
TNFSF13	11	69573403	2977	#73af42	tumor necrosis factor (ligand) superfamily, member 13	7	
MIR497	11	70125543	83	#73af42	microRNA 497	7	
EPX	11	87754824	11538	#73af42	eosinophil peroxidase	7	
NFE2L1	11	96708240	12554	#73af42	nuclear factor, erythroid derived 2,-like 1	7	
KRT19	11	100031636	5116	#73af42	keratin 19	7	
G6PC	11	101258542	10187	#73af42	glucose-6-phosphatase, catalytic	7	
BRCA1	11	101379590	63191	#73af42	breast cancer 1, early onset	7	
DUSP3	11	101861970	13647	#73af42	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	7	
TANC2	11	105480812	339317	#73af42	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	7	
GH	11	106191087	1635	#73af42	growth hormone	7	
BIRC5	11	117740063	6506	#73af42	baculoviral IAP repeat-containing 5	7	
GDF7	12	8347918	4036	#73af42	growth differentiation factor 7	7	
TWIST1	12	34007670	2160	#73af42	twist basic helix-loop-helix transcription factor 1	7	
EGLN3	12	54225767	24893	#73af42	egl-9 family hypoxia-inducible factor 3	7	
MAX	12	76985943	23079	#73af42	Max protein	7	
PSEN1	12	83734926	46943	#73af42	presenilin 1	7	
NEK9	12	85346288	39848	#73af42	NIMA (never in mitosis gene a)-related expressed kinase 9	7	
ACTN2	13	12284313	71300	#73af42	actinin alpha 2	7	
PRL	13	27241553	7633	#73af42	prolactin	7	
BMP6	13	38529692	154598	#73af42	bone morphogenetic protein 6	7	
TXNDC5	13	38684247	28553	#73af42	thioredoxin domain containing 5	7	
MXD3	13	55472983	4561	#73af42	Max dimerization protein 3	7	
CTSL	13	64509704	8630	#73af42	cathepsin L	7	
TERT	13	73775030	22932	#73af42	telomerase reverse transcriptase	7	
EDIL3	13	88969591	501753	#73af42	EGF-like repeats and discoidin I-like domains 3	7	
XRCC4	13	89997033	240694	#73af42	X-ray repair complementing defective repair in Chinese hamster cells 4	7	
FOXD1	13	98490753	2460	#73af42	forkhead box D1	7	
DDX4	13	112734867	53977	#73af42	DEAD box helicase 4	7	
ITGA1	13	115094616	143884	#73af42	integrin alpha 1	7	
FGF10	13	118851235	77874	#73af42	fibroblast growth factor 10	7	
FEZF2	14	10123898	3973	#73af42	Fez family zinc finger 2	7	
PBRM1	14	30741662	101887	#73af42	polybromo 1	7	
MAPK8	14	33099856	69259	#73af42	mitogen-activated protein kinase 8	7	
LDB3	14	34283211	27427	#73af42	LIM domain binding 3	7	
WDHD1	14	47478401	35913	#73af42	WD repeat and HMG-box DNA binding protein 1	7	
EXOC5	14	49249601	54523	#73af42	exocyst complex component 5	7	
METTL3	14	52532299	10282	#73af42	methyltransferase like 3	7	
GJB2	14	57336059	6100	#73af42	gap junction protein, beta 2	7	
MIR15A	14	61869476	83	#73af42	microRNA 15a	7	
SOX7	14	64181155	7026	#73af42	SRY (sex determining region Y)-box 7	7	
SFTPC	14	70758382	3139	#73af42	surfactant associated protein C	7	
TNFSF11	14	78514886	30597	#73af42	tumor necrosis factor (ligand) superfamily, member 11	7	
POU4F1	14	104699761	5674	#73af42	POU domain, class 4, transcription factor 1	7	
MIR20A	14	115281589	106	#73af42	microRNA 20a	7	
GDNF	15	7845031	22030	#73af42	glial cell line derived neurotrophic factor	7	
SLC1A3	15	8663608	76683	#73af42	solute carrier family 1 (glial high affinity glutamate transporter), member 3	7	
MYO10	15	25774099	39643	#73af42	myosin X	7	
CCN3	15	54609306	7851	#73af42	cellular communication network factor 3	7	
MYH9	15	77644785	81590	#73af42	myosin, heavy polypeptide 9, non-muscle	7	
TWF1	15	94475829	11876	#73af42	twinfilin actin binding protein 1	7	
KMT2D	15	98729550	39536	#73af42	lysine (K)-specific methyltransferase 2D	7	
KRT1	15	101753861	5360	#73af42	keratin 1	7	
SP7	15	102265038	10365	#73af42	Sp7 transcription factor 7	7	
SP1	15	102314751	30088	#73af42	trans-acting transcription factor 1	7	
CREBBP	16	3901912	129356	#73af42	CREB binding protein	7	
TBX1	16	18400454	8967	#73af42	T-box 1	7	
CDC45	16	18599197	31525	#73af42	cell division cycle 45	7	
OPA1	16	29398152	75268	#73af42	OPA1, mitochondrial dynamin like GTPase	7	
HES1	16	29884175	2439	#73af42	hes family bHLH transcription factor 1	7	
RUBCN	16	32642077	56022	#73af42	RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein	7	
ITGB5	16	33650035	119673	#73af42	integrin beta 5	7	
OLIG1	16	91066657	2170	#73af42	oligodendrocyte transcription factor 1	7	
IFNAR1	16	91282103	25307	#73af42	interferon (alpha and beta) receptor 1	7	
QK	17	10429109	109181	#73af42	quaking, KH domain containing RNA binding	7	
BAK1	17	27238786	8815	#73af42	BCL2-antagonist/killer 1	7	
PPARD	17	28451728	68715	#73af42	peroxisome proliferator activator receptor delta	7	
AGER	17	34816824	3087	#73af42	advanced glycosylation end product-specific receptor	7	
LST1	17	35404071	3345	#73af42	leukocyte specific transcript 1	7	
TNFSF14	17	57496474	4707	#73af42	tumor necrosis factor (ligand) superfamily, member 14	7	
ADGRE1	17	57665686	124843	#73af42	adhesion G protein-coupled receptor E1	7	
LPIN2	17	71511649	45164	#73af42	lipin 2	7	
EPCAM	17	87943407	15148	#73af42	epithelial cell adhesion molecule	7	
BAMBI	18	3507957	8447	#73af42	BMP and activin membrane-bound inhibitor	7	
DSG2	18	20691131	46452	#73af42	desmoglein 2	7	
MYOT	18	44467141	21654	#73af42	myotilin	7	
LMNB1	18	56840885	45611	#73af42	lamin B1	7	
PPARGC1B	18	61424516	108967	#73af42	peroxisome proliferative activated receptor, gamma, coactivator 1 beta	7	
MIR122	18	65381932	65	#73af42	microRNA 122	7	
TCF4	18	69479231	341807	#73af42	transcription factor 4	7	
CPT1A	19	3373301	62432	#73af42	carnitine palmitoyltransferase 1a, liver	7	
SF3B2	19	5323949	21536	#73af42	splicing factor 3b, subunit 2	7	
RELA	19	5687569	10593	#73af42	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	7	
ANXA1	19	20350798	17237	#73af42	annexin A1	7	
FFAR4	19	38085527	17184	#73af42	free fatty acid receptor 4	7	
SLIT1	19	41588696	143599	#73af42	slit guidance ligand 1	7	
OGA	19	45738694	33298	#73af42	O-GlcNAcase	7	
GATA3	2	9861889	21522	#73af42	GATA binding protein 3	7	
MIR467B	2	10486059	72	#73af42	microRNA 467b	7	
RXRA	2	27600595	52736	#73af42	retinoid X receptor alpha	7	
TSC1	2	28531245	49939	#73af42	TSC complex subunit 1	7	
RIF1	2	51962849	53931	#73af42	replication timing regulatory factor 1	7	
DPP4	2	62163567	79008	#73af42	dipeptidylpeptidase 4	7	
GCG	2	62304874	9123	#73af42	glucagon	7	
ITGA6	2	71617283	71488	#73af42	integrin alpha 6	7	
NEUROD1	2	79282981	3999	#73af42	neurogenic differentiation 1	7	
ACP2	2	91033257	11186	#73af42	acid phosphatase 2, lysosomal	7	
FSHB	2	106886331	3665	#73af42	follicle stimulating hormone beta	7	
MEIS2	2	115691745	206180	#73af42	Meis homeobox 2	7	
TRPM7	2	126633478	84703	#73af42	transient receptor potential cation channel, subfamily M, member 7	7	
INSM1	2	146063917	3021	#73af42	insulinoma-associated 1	7	
NKX2-2	2	147025072	3250	#73af42	NK2 homeobox 2	7	
ID1	2	152578171	1159	#73af42	inhibitor of DNA binding 1, HLH protein	7	
SLC32A1	2	158452678	4989	#73af42	solute carrier family 32 (GABA vesicular transporter), member 1	7	
SNAI1	2	167380115	4616	#73af42	snail family zinc finger 1	7	
CEBPB	2	167530835	1517	#73af42	CCAAT/enhancer binding protein (C/EBP), beta	7	
CLDN11	3	31204069	14406	#73af42	claudin 11	7	
PEX5L	3	33002075	195265	#73af42	peroxisomal biogenesis factor 5-like	7	
CCNA2	3	36619014	8173	#73af42	cyclin A2	7	
P2RY14	3	59022044	38869	#73af42	purinergic receptor P2Y, G-protein coupled, 14	7	
PTX3	3	66127308	5919	#73af42	pentraxin related gene	7	
LMNA	3	88390512	20147	#73af42	lamin A	7	
HAX1	3	89902753	3270	#73af42	HCLS1 associated X-1	7	
CRTC2	3	90161165	10267	#73af42	CREB regulated transcription coactivator 2	7	
CTSK	3	95406521	10177	#73af42	cathepsin K	7	
NOTCH2	3	97920854	136829	#73af42	notch 2	7	
TSHB	3	102684714	5316	#73af42	thyroid stimulating hormone, beta subunit	7	
WNT2B	3	104852121	16904	#73af42	wingless-type MMTV integration site family, member 2B	7	
S1PR1	3	115504082	4622	#73af42	sphingosine-1-phosphate receptor 1	7	
METTL14	3	123161944	17695	#73af42	methyltransferase like 14	7	
