gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	timeframe_citation_count	previous_timeframe_citation_count	citation_count_delta	significance	gene_rank	previous_gene_rank	rank_delta
CLCN1	A2	158963698	31376	#73af42	chloride voltage-gated channel 1	30	0	0	0		3	9	-6
CYP1A1	B3	33546772	6195	#73af42	cytochrome P450 family 1 subfamily A member 1	30	0	0	0		3	9	-6
TUBB1	A3	4505443	5726	#73af42	tubulin beta 1 class VI	30	0	0	0		3	9	-6
IL-29	A3	12121106	572	#73af42	interleukin 29	30	0	0	0		3	9	-6
CYP17A1	D2	63216854	5728	#73af42	cytochrome P450 family 17 subfamily A member 1	30	0	0	0		3	9	-6
LOC100652387	A3	26047977	10902	#73af42	lipid binding protein	30	0	0	0		3	9	-6
IL18R1	A3	60216113	28813	#73af42	interleukin 18 receptor 1	30	0	0	0		3	9	-6
CD63	B4	84421066	2496	#73af42	CD63 molecule	30	0	0	0		3	9	-6
MAX	B3	113539670	22827	#73af42	MYC associated factor X	30	0	0	0		3	9	-6
SLC1A4	A3	85051733	19291	#73af42	solute carrier family 1 member 4	30	0	0	0		3	9	-6
HGF	A2	87722765	76789	#73af42	hepatocyte growth factor	30	0	0	0		3	9	-6
ASZ1	A2	137290580	52626	#73af42	ankyrin repeat, SAM and basic leucine zipper domain containing 1	30	0	0	0		3	9	-6
CDKN1B	B4	48735987	3612	#73af42	cyclin dependent kinase inhibitor 1B	30	0	0	0		3	9	-6
ACHE	E3	7957978	3865	#73af42	acetylcholinesterase	30	0	0	0		3	9	-6
ESR1	B2	139615068	275975	#73af42	estrogen receptor 1	30	0	0	0		3	9	-6
CAV1	A2	136519457	35031	#73af42	caveolin 1	30	0	0	0		3	9	-6
CD8B	A3	103869260	14652	#73af42	CD8b molecule	30	0	0	0		3	9	-6
CDKN1A	B2	38001103	7275	#73af42	cyclin dependent kinase inhibitor 1A	30	0	0	0		3	9	-6
B2M	B3	60972390	3526	#73af42	beta-2-microglobulin	30	0	0	0		3	9	-6
ZP2	E3	27750516	12164	#73af42	zona pellucida glycoprotein 2	30	0	0	0		3	9	-6
MYL5	B1	208062838	3485	#73af42	myosin light chain 5	30	0	0	0		3	9	-6
GBE1	C2	34712245	268970	#73af42	1,4-alpha-glucan branching enzyme 1	30	0	0	0		3	9	-6
MCPH1	B1	6234837	268626	#73af42	microcephalin 1	30	0	0	0		3	9	-6
CD40LG	X	114884203	10713	#73af42	CD40 ligand	30	0	0	0		3	9	-6
GLB1	C2	158912294	86518	#73af42	galactosidase beta 1	30	0	0	0		3	9	-6
BMI1	B4	20999862	3098	#73af42	BMI1 proto-oncogene, polycomb ring finger	30	0	0	0		3	9	-6
STAR	B1	46683588	4391	#73af42	steroidogenic acute regulatory protein	30	0	0	0		3	9	-6
FOS	B3	122573803	3303	#73af42	Fos proto-oncogene, AP-1 transcription factor subunit	30	0	0	0		3	9	-6
ABCB11	C1	160448721	90973	#73af42	ATP binding cassette subfamily B member 11	30	0	0	0		3	9	-6
CRX	E2	6098778	9733	#73af42	cone-rod homeobox	30	0	0	0		3	9	-6
MET	A2	136661904	118723	#73af42	MET proto-oncogene, receptor tyrosine kinase	30	0	0	0		3	9	-6
GFI1	C1	78863849	10702	#73af42	growth factor independent 1 transcriptional repressor	30	0	0	0		3	9	-6
LHB	E2	8823385	1083	#73af42	luteinizing hormone subunit beta	30	0	0	0		3	9	-6
INS	D1	115942354	690	#73af42	insulin	30	0	0	0		3	9	-6
GNRHR	B1	152391619	21013	#73af42	gonadotropin releasing hormone receptor	30	0	0	0		3	9	-6
MDH1	A3	83826717	20415	#73af42	malate dehydrogenase 1	30	0	0	0		3	9	-6
HEXB	A1	141539867	32096	#73af42	hexosaminidase subunit beta	30	0	0	0		3	9	-6
FASLG	F1	16866013	7587	#73af42	Fas ligand	30	0	0	0		3	9	-6
CAR1	B1	186386618	1421	#73af42	syncytin-Car1	30	0	0	0		3	9	-6
IDUA	B1	207798582	14836	#73af42	alpha-L-iduronidase	30	0	0	0		3	9	-6
INHBA	A2	74139845	10667	#73af42	inhibin subunit beta A	30	0	0	0		3	9	-6
SLC20A2	B1	42532796	50312	#73af42	solute carrier family 20 member 2	30	0	0	0		3	9	-6
FELCATV1R15	B2	3640983	915	#73af42	vomeronasal 1 receptor felCatV1R15	30	0	0	0		3	9	-6
FELCATV1R14	B2	3650291	971	#73af42	vomeronasal 1 receptor felCatV1R14	30	0	0	0		3	9	-6
FELCATV1R16	B2	3682695	971	#73af42	vomeronasal 1 receptor felCatV1R16	30	0	0	0		3	9	-6
MYC	F2	72293035	2411	#73af42	MYC proto-oncogene, bHLH transcription factor	30	0	0	0		3	9	-6
WNT2	A2	137218101	44773	#73af42	Wnt family member 2	30	0	0	0		3	9	-6
DRA	B2	33701347	3526	#73af42	HLA class II histocompatibility antigen, DR alpha chain-like	30	0	0	0		3	9	-6
CNR1	B2	81799712	1418	#73af42	cannabinoid receptor 1	30	0	0	0		3	9	-6
EDN1	B2	16827564	6125	#73af42	endothelin 1	30	0	0	0		3	9	-6
POU5F1	B2	31899614	5220	#73af42	POU class 5 homeobox 1	30	0	0	0		3	9	-6
SMN	A1	138510636	40740	#73af42	survival motor neuron	30	0	0	0		3	9	-6
NR3C1	A1	121247113	109696	#73af42	nuclear receptor subfamily 3 group C member 1	30	0	0	0		3	9	-6
LOC101098301	B2	33718030	9664	#73af42	DLA class II histocompatibility antigen, DR-1 beta chain	30	0	0	0		3	9	-6
EGF	B1	115393360	96162	#73af42	epidermal growth factor	30	0	0	0		3	9	-6
CD28	C1	190521110	28130	#73af42	CD28 molecule	30	0	0	0		3	9	-6
CSTA	C2	68118125	11130	#73af42	cystatin A	30	0	0	0		3	9	-6
VEGFA	B2	44508001	13481	#73af42	vascular endothelial growth factor A	30	0	0	0		3	9	-6
PDC	F1	24126221	7998	#73af42	phosducin	30	0	0	0		3	9	-6
OOEP	B2	69053074	1293	#73af42	oocyte expressed protein	30	0	0	0		3	9	-6
ITGB1	B4	30109033	28549	#73af42	integrin subunit beta 1	30	0	0	0		3	9	-6
CGA	B2	80850572	18287	#73af42	glycoprotein hormones, alpha polypeptide	30	0	0	0		3	9	-6
FLAI-K	B2	61920	3150	#73af42	saoe class I histocompatibility antigen, A alpha chain-like	30	0	0	0		3	9	-6
ZP4	D2	11287617	7541	#73af42	zona pellucida glycoprotein 4	30	0	0	0		3	9	-6
DIO1	C1	43924398	17017	#73af42	iodothyronine deiodinase 1	30	0	0	0		3	9	-6
IFNAR2	C2	12101710	20541	#73af42	interferon alpha and beta receptor subunit 2	30	0	0	0		3	9	-6
ACE2	X	12331668	41885	#73af42	angiotensin converting enzyme 2	30	0	0	0		3	9	-6
HEXA	B3	35588614	27028	#73af42	hexosaminidase subunit alpha	30	0	0	0		3	9	-6
OAZ2	B3	42513987	16338	#73af42	ornithine decarboxylase antizyme 2	30	0	0	0		3	9	-6
PPIB	B3	43002968	5769	#73af42	peptidylprolyl isomerase B	30	0	0	0		3	9	-6
PTGS2	F1	23931093	6547	#73af42	prostaglandin-endoperoxide synthase 2	30	0	0	0		3	9	-6
CYP1A2	B3	33525450	5677	#73af42	cytochrome P450 family 1 subfamily A member 2	30	0	0	0		3	9	-6
PRL	B2	7554523	10051	#73af42	prolactin	30	0	0	0		3	9	-6
AKT1	B3	148724327	20876	#73af42	AKT serine/threonine kinase 1	30	0	0	0		3	9	-6
TYRP1	D4	40068827	18845	#73af42	tyrosinase related protein 1	30	0	0	0		3	9	-6
DPEP1	E2	63607885	6687	#73af42	dipeptidase 1	30	0	0	0		3	9	-6
HSD3B2	C1	102683688	7851	#73af42	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	30	0	0	0		3	9	-6
HP	E2	49409517	3121	#73af42	haptoglobin	30	0	0	0		3	9	-6
AMBP	D4	76132801	13748	#73af42	alpha-1-microglobulin/bikunin precursor	30	0	0	0		3	9	-6
CYP2D6	B4	137548314	4601	#73af42	cytochrome P450 family 2 subfamily D member 6	30	0	0	0		3	9	-6
TFRC	C2	71971946	19718	#73af42	transferrin receptor	30	0	0	0		3	9	-6
GUSB	E3	16116420	13451	#73af42	glucuronidase beta	30	0	0	0		3	9	-6
RLN	D4	6375807	5557	#73af42	relaxin	30	0	0	0		3	9	-6
BCL2	D3	83102612	174064	#73af42	BCL2 apoptosis regulator	30	0	0	0		3	9	-6
SLC1A2	D1	91039368	138521	#73af42	solute carrier family 1 member 2	30	0	0	0		3	9	-6
NANOG	B4	42996381	5023	#73af42	Nanog homeobox	30	0	0	0		3	9	-6
DPP4	C1	153788644	77503	#73af42	dipeptidyl peptidase 4	30	0	0	0		3	9	-6
OPN1LW	X	129113495	12397	#73af42	opsin 1 (cone pigments), long-wave-sensitive	30	0	0	0		3	9	-6
KRT71	B4	81043895	9516	#73af42	keratin 71	30	0	0	0		3	9	-6
KRT74	B4	81064678	7655	#73af42	keratin 74	30	0	0	0		3	9	-6
KRT73	B4	81101787	10382	#73af42	keratin 73	30	0	0	0		3	9	-6
ERBB3	B4	84715309	16722	#73af42	erb-b2 receptor tyrosine kinase 3	30	0	0	0		3	9	-6
RPL41	B4	84744851	1188	#73af42	ribosomal protein L41	30	0	0	0		3	9	-6
ALPL	C1	15803363	58351	#73af42	alkaline phosphatase, biomineralization associated	30	0	0	0		3	9	-6
SELL	F1	14259012	20688	#73af42	selectin L	30	0	0	0		3	9	-6
PPIA	A2	62846717	2653	#73af42	peptidylprolyl isomerase A	30	0	0	0		3	9	-6
APOBEC3Z3	B4	134878275	2309	#73af42	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3Z3	30	0	0	0		3	9	-6
ISG15	C1	135976	1116	#73af42	ISG15 ubiquitin like modifier	30	0	0	0		3	9	-6
CSF1R	A1	199096976	29372	#73af42	colony stimulating factor 1 receptor	30	0	0	0		3	9	-6
CD86	C2	67904731	43032	#73af42	CD86 molecule	30	0	0	0		3	9	-6
TLR7	X	9894716	22614	#73af42	toll like receptor 7	30	0	0	0		3	9	-6
SLC20A1	A3	105236782	15704	#73af42	solute carrier family 20 member 1	30	0	0	0		3	9	-6
LIN28A	C1	19894838	11144	#73af42	lin-28 homolog A	30	0	0	0		3	9	-6
AZIN2	C1	25164946	33382	#73af42	antizyme inhibitor 2	30	0	0	0		3	9	-6
TRIM62	C1	25218170	28609	#73af42	tripartite motif containing 62	30	0	0	0		3	9	-6
EEF1A1	B2	69173876	2465	#73af42	eukaryotic translation elongation factor 1 alpha 1	30	0	0	0		3	9	-6
PPIH	C1	33518250	9902	#73af42	peptidylprolyl isomerase H	30	0	0	0		3	9	-6
TNFRSF1A	B4	41441023	12304	#73af42	TNF receptor superfamily member 1A	30	0	0	0		3	9	-6
SI	C2	102745594	102490	#73af42	sucrase-isomaltase	30	0	0	0		3	9	-6
IFNA7	D4	47798892	746	#73af42	interferon, alpha 7	30	0	0	0		3	9	-6
PTGFR	C1	66169772	46874	#73af42	prostaglandin F receptor	30	0	0	0		3	9	-6
TCEB2	C1	79081612	356	#73af42	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	30	0	0	0		3	9	-6
SLC19A3	C1	211606446	18879	#73af42	solute carrier family 19 member 3	30	0	0	0		3	9	-6
CUL5	D1	6519815	95534	#73af42	cullin 5	30	0	0	0		3	9	-6
VWF	B4	41119862	137217	#73af42	von Willebrand factor	30	0	0	0		3	9	-6
ZP3	E3	9260230	7083	#73af42	zona pellucida glycoprotein 3	30	0	0	0		3	9	-6
MCL1	C1	105778657	3496	#73af42	MCL1 apoptosis regulator, BCL2 family member	30	0	0	0		3	9	-6
PSIP1	D4	42621843	37233	#73af42	PC4 and SFRS1 interacting protein 1	30	0	0	0		3	9	-6
OVGP1	C1	95475849	13026	#73af42	oviductal glycoprotein 1	30	0	0	0		3	9	-6
CDKAL1	B2	8488488	662974	#73af42	CDK5 regulatory subunit associated protein 1 like 1	30	0	0	0		3	9	-6
CSF3	E1	41033738	2189	#73af42	colony stimulating factor 3	30	0	0	0		3	9	-6
XDH	A3	117507340	99282	#73af42	xanthine dehydrogenase	30	0	0	0		3	9	-6
AOX1	C1	187683672	85111	#73af42	aldehyde oxidase 1	30	0	0	0		3	9	-6
MLPH	C1	219396738	37284	#73af42	melanophilin	30	0	0	0		3	9	-6
CD3E	D1	15915145	12222	#73af42	CD3e molecule	30	0	0	0		3	9	-6
PDCD1	C1	222715583	12804	#73af42	programmed cell death 1	30	0	0	0		3	9	-6
TFF1	C2	3741214	2222	#73af42	trefoil factor 1	30	0	0	0		3	9	-6
TFF2	C2	3755359	2909	#73af42	trefoil factor 2	30	0	0	0		3	9	-6
TAS1R3	C1	420652	3210	#73af42	taste 1 receptor member 3	30	0	0	0		3	9	-6
ABCB1	A2	93099613	113960	#73af42	ATP binding cassette subfamily B member 1	30	0	0	0		3	9	-6
GHRL	A2	51427968	4942	#73af42	ghrelin and obestatin prepropeptide	30	0	0	0		3	9	-6
BLCAP	A3	22321545	8934	#73af42	BLCAP apoptosis inducing factor	30	0	0	0		3	9	-6
PHB	E1	38086894	9429	#73af42	prohibitin	30	0	0	0		3	9	-6
CD80	C2	65743489	13137	#73af42	CD80 molecule	30	0	0	0		3	9	-6
CD7	E1	62653502	2833	#73af42	CD7 molecule	30	0	0	0		3	9	-6
CASR	C2	68042715	28228	#73af42	calcium sensing receptor	30	0	0	0		3	9	-6
NPC1	D3	48227719	56236	#73af42	NPC intracellular cholesterol transporter 1	30	0	0	0		3	9	-6
GAPDH	B4	41630335	3730	#73af42	glyceraldehyde-3-phosphate dehydrogenase	30	0	0	0		3	9	-6
CD9	B4	41321950	33596	#73af42	CD9 molecule	30	0	0	0		3	9	-6
ADIPOQ	C2	82988921	1606	#73af42	adiponectin, C1Q and collagen domain containing	30	0	0	0		3	9	-6
PLPPR4	C1	85169063	41765	#73af42	phospholipid phosphatase related 4	30	0	0	0		3	9	-6
SOX2	C2	87648709	965	#73af42	SRY-box transcription factor 2	30	0	0	0		3	9	-6
TNFSF10	C2	95939225	16493	#73af42	TNF superfamily member 10	30	0	0	0		3	9	-6
MPO	E1	30564855	9164	#73af42	myeloperoxidase	30	0	0	0		3	9	-6
FGF5	B1	142165360	20690	#73af42	fibroblast growth factor 5	30	0	0	0		3	9	-6
IAPP	B4	56231753	6471	#73af42	islet amyloid polypeptide	30	0	0	0		3	9	-6
PRPH2	B2	43609506	17080	#73af42	peripherin 2	30	0	0	0		3	9	-6
SLC8A1	A3	109917180	327466	#73af42	solute carrier family 8 member A1	30	0	0	0		3	9	-6
IL5	A1	111639221	2019	#73af42	interleukin 5	30	0	0	0		3	9	-6
FECA-DRB	B2	33785551	10382	#73af42	DLA class II histocompatibility antigen, DR-1 beta chain-like	30	0	0	0		3	9	-6
SLC45A2	A1	214528333	32078	#73af42	solute carrier family 45 member 2	30	0	0	0		3	9	-6
CELA1	B4	79995602	17426	#73af42	chymotrypsin like elastase 1	30	0	0	0		3	9	-6
EDN2	C1	32507439	5599	#73af42	endothelin 2	30	0	0	0		3	9	-6
SLC35F2	D1	6357294	56817	#73af42	solute carrier family 35 member F2	30	0	0	0		3	9	-6
CYP3A131	E3	6966368	63219	#73af42	cytochrome P450 family 3 subfamily A member 131	30	0	0	0		3	9	-6
CYP3A132	E3	7040794	31586	#73af42	cytochrome P450 family 3 subfamily A member 132	30	0	0	0		3	9	-6
ANPEP	B3	6074208	18643	#73af42	alanyl aminopeptidase, membrane	30	0	0	0		3	9	-6
HMBS	D1	16540290	4643	#73af42	hydroxymethylbilane synthase	30	0	0	0		3	9	-6
CAV2	A2	136488173	8088	#73af42	caveolin 2	30	0	0	0		3	9	-6
FELCATV1R10	E2	1328100	914	#73af42	vomeronasal 1 receptor felCatV1R10	30	0	0	0		3	9	-6
THPO	C2	85185199	3561	#73af42	thrombopoietin	30	0	0	0		3	9	-6
TOMT	D1	61629921	2323	#73af42	transmembrane O-methyltransferase	30	0	0	0		3	9	-6
LRRC51	D1	61641085	13878	#73af42	leucine-rich repeat-containing 51	30	0	0	0		3	9	-6
TTR	D3	55510444	7086	#73af42	transthyretin	30	0	0	0		3	9	-6
TRIM5	D1	64137425	7035	#73af42	tripartite motif containing 5	30	0	0	0		3	9	-6
LOC101099075	D1	32551	2577	#73af42	serum amyloid A protein	30	0	0	0		3	9	-6
NTF3	B4	40711634	771	#73af42	neurotrophin 3	30	0	0	0		3	9	-6
MS4A1	D1	106770591	12339	#73af42	membrane spanning 4-domains A1	30	0	0	0		3	9	-6
PGB2	C1	95462642	8104	#73af42	pepsinogen B2	30	0	0	0		3	9	-6
KLRAP1	B4	47186249	12099	#73af42	killer cell lectin-like receptor subfamily A pseudogene 1	30	0	0	0		3	9	-6
ZP1	D1	107055795	7386	#73af42	zona pellucida glycoprotein 1	30	0	0	0		3	9	-6
NCAM1	D1	10908032	311573	#73af42	neural cell adhesion molecule 1	30	0	0	0		3	9	-6
IL4	A1	111778712	8832	#73af42	interleukin 4	30	0	0	0		3	9	-6
ETFDH	B1	71361394	31312	#73af42	electron transfer flavoprotein dehydrogenase	30	0	0	0		3	9	-6
FAS	D2	8634382	26606	#73af42	Fas cell surface death receptor	30	0	0	0		3	9	-6
IFNB1	D4	47624644	560	#73af42	interferon beta 1	30	0	0	0		3	9	-6
LYST	D2	13199206	148012	#73af42	lysosomal trafficking regulator	30	0	0	0		3	9	-6
TRIM38	B2	4179017	9636	#73af42	tripartite motif containing 38	30	0	0	0		3	9	-6
PRF1	D2	33504117	2555	#73af42	perforin 1	30	0	0	0		3	9	-6
SSTR2	E1	55485347	1761	#73af42	somatostatin receptor 2	30	0	0	0		3	9	-6
RBP4	D2	55771654	9174	#73af42	retinol binding protein 4	30	0	0	0		3	9	-6
TRIM21	D1	62421823	6258	#73af42	tripartite motif containing 21	30	0	0	0		3	9	-6
ADRA2A	D2	26614	1352	#73af42	adrenoceptor alpha 2A	30	0	0	0		3	9	-6
CYP2E2		90088410	12167	#73af42		30	0	0	0		-1	-1	-1
CYP2E1	-	90088410	12167	#73af42	cytochrome P450 2E1	30	0	0	0		3	9	-6
HCAR2	D3	7120107	1228	#73af42	hydroxycarboxylic acid receptor 2	30	0	0	0		3	9	-6
TSHR	B3	127702692	162069	#73af42	thyroid stimulating hormone receptor	30	0	0	0		3	9	-6
SLC5A1	D3	21076621	75283	#73af42	solute carrier family 5 member 1	30	0	0	0		3	9	-6
CXCL12	D2	50847804	11775	#73af42	C-X-C motif chemokine ligand 12	30	0	0	0		3	9	-6
FLT3LG	E2	8486338	7940	#73af42	fms related receptor tyrosine kinase 3 ligand	30	0	0	0		3	9	-6
CD2	C1	100270245	12828	#73af42	CD2 molecule	30	0	0	0		3	9	-6
IL12B	A1	191099916	9461	#73af42	interleukin 12B	30	0	0	0		3	9	-6
LOC493954	D1	107322837	8238	#73af42	pregnancy-associated glycoprotein	30	0	0	0		3	9	-6
AGXT	C1	221954205	11206	#73af42	alanine--glyoxylate and serine--pyruvate aminotransferase	30	0	0	0		3	9	-6
CASP3	B1	15586230	22317	#73af42	caspase 3	30	0	0	0		3	9	-6
GH1	E1	48150177	1653	#73af42	growth hormone 1	30	0	0	0		3	9	-6
ADRB3	B1	46802626	1897	#73af42	adrenoceptor beta 3	30	0	0	0		3	9	-6
IFNW13	D4	47806521	590	#73af42	interferon omega 13	30	0	0	0		3	9	-6
IFNW3	-	47806521	590	#73af42	interferon omega 3	30	0	0	0		3	9	-6
IFNW6	D4	47806521	590	#73af42	interferon omega 6	30	0	0	0		3	9	-6
IFNW8	-	47806521	590	#73af42	interferon omega 8	30	0	0	0		3	9	-6
IFNW12	D4	47806521	590	#73af42	interferon omega 12	30	0	0	0		3	9	-6
IFNW5	D4	47806521	590	#73af42	interferon omega 5	30	0	0	0		3	9	-6
IFNW7	-	47806521	590	#73af42	interferon omega 7	30	0	0	0		3	9	-6
IFNW4	D4	47677856	65166	#73af42	interferon omega 4	30	0	0	0		3	9	-6
IFNW2	D4	47677856	65166	#73af42	interferon omega 2	30	0	0	0		3	9	-6
IFNA13	-	47727700	581	#73af42	interferon, alpha 13	30	0	0	0		3	9	-6
IFNW9	-	47700705	42317	#73af42	interferon omega 9	30	0	0	0		3	9	-6
IFNW10	-	47700705	42317	#73af42	interferon omega 10	30	0	0	0		3	9	-6
IFNA8	D4	47706575	21706	#73af42	interferon, alpha 8	30	0	0	0		3	9	-6
IFNA3	-	47706575	21706	#73af42	interferon alpha 3	30	0	0	0		3	9	-6
IFNA12	-	47706575	21706	#73af42	interferon alpha 12	30	0	0	0		3	9	-6
IFNA9	-	47706575	21706	#73af42	interferon alpha 9	30	0	0	0		3	9	-6
IFNA10	-	47706575	21706	#73af42	interferon, alpha 10	30	0	0	0		3	9	-6
IFNA11	-	47706575	21706	#73af42	interferon alpha 11	30	0	0	0		3	9	-6
IFNA1	-	47798900	584	#73af42	interferon, alpha 1	30	0	0	0		3	9	-6
IFNA2	-	47798900	584	#73af42	interferon, alpha 2	30	0	0	0		3	9	-6
IFNA6	-	47706575	21706	#73af42	interferon, alpha 6	30	0	0	0		3	9	-6
IFNA14	-	47715684	582	#73af42	interferon, alpha 14	30	0	0	0		3	9	-6
IFNW1	D4	47742431	591	#73af42	interferon, omega 1	30	0	0	0		3	9	-6
IFNW11	D4	47742431	591	#73af42	interferon omega 11	30	0	0	0		3	9	-6
IFNA5	D4	47798900	584	#73af42	interferon, alpha 5	30	0	0	0		3	9	-6
IFNE	D4	47829021	626	#73af42	interferon epsilon	30	0	0	0		3	9	-6
FCGR2B	F1	65669841	14982	#73af42	Fc fragment of IgG, low affinity IIb, receptor (CD32)	30	0	0	0		3	9	-6
KLF4	D4	70501119	5089	#73af42	Kruppel like factor 4	30	0	0	0		3	9	-6
TLR9	A2	20820317	4228	#73af42	toll like receptor 9	30	0	0	0		3	9	-6
BIRC5	E1	59562172	8461	#73af42	baculoviral IAP repeat containing 5	30	0	0	0		3	9	-6
TRG	A2	77314019	115208	#73af42	uncharacterized TRG	30	0	0	0		3	9	-6
MC1R	E2	63829685	953	#73af42	melanocortin 1 receptor	30	0	0	0		3	9	-6
