## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
IDH1	11	-16	179	-99
ITGB1	11	-13	179	-77
LMNB1	11	2	179	743
MECP2	11	-1	179	290
MET	11	-17	179	-105
CD99	11	4	179	1743
MYBPC3	11	6	179	5621
HNRNPM	11	4	179	1743
NF1	11	-5	179	61
YBX1	11	-7	179	-4
PRKN	11	-5	179	61
PDHA1	11	5	179	2963
PIK3R1	11	2	179	743
PSEN1	11	-3	179	139
S100B	11	-3	179	139
SHH	11	-7	179	-4
SLC2A1	11	-7	179	-4
SLC19A1	11	4	179	1743
SREBF1	11	0	179	412
AURKA	11	-7	179	-4
TCOF1	11	6	179	5621
TFRC	11	-7	179	-4
TJP1	11	2	179	743
HSP90B1	11	3	179	1092
VWF	11	-10	179	-51
WFS1	11	5	179	2963
USP7	11	-4	179	96
HMGA2	11	-4	179	96
PIK3R3	11	4	179	1743
TP63	11	-7	179	-4
RAB11A	11	3	179	1092
AURKB	11	0	179	412
VAPA	11	5	179	2963
BAG3	11	3	179	1092
DNM1L	11	-4	179	96
G3BP1	11	-3	179	139
TRIM28	11	3	179	1092
RTN3	11	4	179	1743
TUBB3	11	2	179	743
PGRMC1	11	3	179	1092
RAB10	11	3	179	1092
SLC7A11	11	3	179	1092
PRPF19	11	1	179	558
ADA2	11	3	179	1092
TLR9	11	-4	179	96
TREM2	11	-7	179	-4
ZC3HAV1	11	2	179	743
LRRK2	11	-11	179	-61
ANO6	11	3	179	1092
TIGIT	11	-1	179	290
ASPM	11	6	179	5621
H19	11	-16	179	-99
MALAT1	11	-20	179	-118
MIR186	11	-4	179	96
MIR195	11	-9	179	-32
MIR210	11	-7	179	-4
MIR424	11	-6	179	28
HOTAIR	11	-14	179	-86
ACADVL	10	3	264	1658
AFP	10	-4	264	54
AGT	10	-2	264	205
ALB	10	-7	264	-57
ABCD1	10	5	264	5536
ALK	10	-13	264	-153
APOA1	10	-1	264	327
AQP3	10	2	264	1007
ATM	10	-22	264	-207
ATP2A2	10	-2	264	205
ATP2B1	10	3	264	1658
ATP2B4	10	2	264	1007
BARD1	10	-1	264	327
BAX	10	-1	264	327
BMP2	10	-5	264	11
BUB1B	10	-3	264	119
C3	10	2	264	1007
CACNA1A	10	3	264	1658
CANX	10	0	264	473
RUNX1	10	-20	264	-198
SERPINH1	10	6	264	7502
CD36	10	-1	264	327
CDK9	10	2	264	1007
CLCN7	10	-2	264	205
CLU	10	-11	264	-136
CTNNA1	10	1	264	658
CTNND1	10	0	264	473
CUX1	10	0	264	473
CYLD	10	-1	264	327
CD55	10	0	264	473
DLAT	10	4	264	2878
DNMT1	10	-12	264	-146
EDN1	10	0	264	473
EIF2S1	10	3	264	1658
STOM	10	4	264	2878
ERCC4	10	4	264	2878
FOXC1	10	2	264	1007
GLP1R	10	-5	264	11
GLUD1	10	4	264	2878
GOLGA4	10	4	264	2878
GRIN2B	10	5	264	5536
GSTT1	10	-5	264	11
H2AX	10	-2	264	205
H2AZ1	10	4	264	2878
HDAC2	10	-4	264	54
HLA-C	10	-16	264	-178
HLA-G	10	-5	264	11
HMGA1	10	-3	264	119
HNRNPA2B1	10	-3	264	119
HSF1	10	-3	264	119
DNAJA1	10	-1	264	327
IL1A	10	1	264	658
ILF3	10	0	264	473
INSR	10	2	264	1007
ITGA5	10	-3	264	119
ITGAV	10	2	264	1007
EIF6	10	3	264	1658
JUN	10	-5	264	11
KDR	10	-2	264	205
KIF11	10	-1	264	327
LAMC1	10	4	264	2878
LCK	10	1	264	658
LGALS9	10	-5	264	11
LIFR	10	4	264	2878
LRP1	10	-1	264	327
LRPAP1	10	4	264	2878
NBR1	10	2	264	1007
MARCKS	10	3	264	1658
SMAD2	10	-4	264	54
MMP14	10	-1	264	327
MSH2	10	-6	264	-24
MYBL2	10	1	264	658
MYD88	10	-6	264	-24
MYO6	10	3	264	1658
NBN	10	4	264	2878
NCL	10	1	264	658
NDUFV2	10	4	264	2878
NEFL	10	-7	264	-57
NF2	10	2	264	1007
NOS3	10	-9	264	-111
NOTCH2	10	-1	264	327
NPPB	10	-8	264	-89
NT5E	10	-4	264	54
NUCB2	10	4	264	2878
OXTR	10	-2	264	205
P4HB	10	1	264	658
PDHB	10	4	264	2878
PFKM	10	1	264	658
PHB1	10	-2	264	205
SERPINA1	10	-5	264	11
PI4KA	10	4	264	2878
PIP4K2A	10	3	264	1658
PLOD2	10	3	264	1658
POLG	10	-2	264	205
POU2F1	10	4	264	2878
PPM1G	10	2	264	1007
PRKAR2A	10	4	264	2878
PRKCD	10	-3	264	119
PRKCI	10	1	264	658
MAP2K1	10	1	264	658
PTPN1	10	-3	264	119
PTPN2	10	0	264	473
ABCD3	10	4	264	2878
PXN	10	2	264	1007
RAD23A	10	5	264	5536
ROBO1	10	3	264	1658
RPL5	10	3	264	1658
RPL15	10	4	264	2878
RPS10	10	2	264	1007
RRBP1	10	5	264	5536
SAFB	10	5	264	5536
SDCBP	10	4	264	2878
SHMT2	10	3	264	1658
SLC12A2	10	4	264	2878
SMN2	10	0	264	473
SNAI1	10	-6	264	-24
FSCN1	10	-4	264	54
SOAT1	10	4	264	2878
SP1	10	-14	264	-162
SPTAN1	10	4	264	2878
SPTBN1	10	3	264	1658
STK11	10	-3	264	119
VAMP2	10	6	264	7502
VAMP7	10	4	264	2878
TFAM	10	-3	264	119
THBD	10	1	264	658
TMPO	10	4	264	2878
TRAF6	10	0	264	473
TRPM2	10	1	264	658
TTR	10	-1	264	327
KDM6A	10	-2	264	205
VCP	10	-4	264	54
TRPV1	10	-2	264	205
VRK1	10	4	264	2878
YY1	10	-4	264	54
DAP3	10	4	264	2878
CLPP	10	4	264	2878
USP11	10	-3	264	119
CUL4A	10	-4	264	54
SORBS2	10	4	264	2878
VAMP8	10	3	264	1658
EED	10	2	264	1007
ADAM9	10	0	264	473
RIPK2	10	2	264	1007
TNFRSF10B	10	2	264	1007
SUCLA2	10	3	264	1658
TRIM24	10	6	264	7502
NRP1	10	-9	264	-111
PER2	10	1	264	658
RAB29	10	3	264	1658
AP3D1	10	2	264	1007
STBD1	10	4	264	2878
USP10	10	-1	264	327
TRIP4	10	4	264	2878
KL	10	-12	264	-146
FADS2	10	1	264	658
AIM2	10	-6	264	-24
CHD1L	10	1	264	658
EIF5B	10	5	264	5536
BCLAF1	10	4	264	2878
KEAP1	10	-4	264	54
PJA2	10	2	264	1007
TOMM70	10	6	264	7502
MED12	10	2	264	1007
SCO2	10	4	264	2878
PARP2	10	3	264	1658
UBA2	10	10	264	8787
BCAP31	10	2	264	1007
STUB1	10	-7	264	-57
WFDC2	10	1	264	658
MAD2L2	10	4	264	2878
SEC23B	10	4	264	2878
SYNCRIP	10	3	264	1658
RAD51AP1	10	4	264	2878
IGF2BP1	10	-6	264	-24
KHDRBS1	10	3	264	1658
OGA	10	5	264	5536
SEPTIN9	10	4	264	2878
ASCC3	10	4	264	2878
SF3B2	10	3	264	1658
TOPBP1	10	4	264	2878
ADAMTS13	10	-7	264	-57
KAT7	10	3	264	1658
PSIP1	10	3	264	1658
PACSIN2	10	4	264	2878
PHB2	10	0	264	473
RAB3GAP1	10	2	264	1007
DAAM1	10	4	264	2878
SNRNP200	10	2	264	1007
USP33	10	2	264	1007
PEG10	10	2	264	1007
TTLL5	10	4	264	2878
EPB41L3	10	5	264	5536
MPRIP	10	4	264	2878
EFR3A	10	4	264	2878
FAM120A	10	1	264	658
WWC1	10	4	264	2878
SUN1	10	4	264	2878
CBX5	10	4	264	2878
SCRIB	10	4	264	2878
WWTR1	10	-8	264	-89
SAMHD1	10	1	264	658
POLDIP2	10	4	264	2878
CACYBP	10	5	264	5536
DROSHA	10	4	264	2878
ANKRD11	10	4	264	2878
SEC61A1	10	4	264	2878
ERO1A	10	2	264	1007
EHD4	10	4	264	2878
PODXL2	10	10	264	8787
UBR5	10	-4	264	54
GTSE1	10	3	264	1658
LSR	10	-1	264	327
PRMT7	10	3	264	1658
BCOR	10	-2	264	205
ALKBH5	10	0	264	473
CDKAL1	10	3	264	1658
SARS2	10	4	264	2878
TUG1	10	-2	264	205
HEATR1	10	2	264	1007
DARS2	10	3	264	1658
CEP55	10	3	264	1658
VPS13D	10	1	264	658
CHD7	10	0	264	473
DDX27	10	5	264	5536
NUP133	10	3	264	1658
PARD3	10	4	264	2878
RTN4	10	2	264	1007
USP31	10	4	264	2878
ARID1B	10	4	264	2878
MAVS	10	-7	264	-57
CIP2A	10	5	264	5536
SNX6	10	4	264	2878
NOD2	10	4	264	2878
ERAP2	10	1	264	658
CHID1	10	4	264	2878
COLGALT1	10	4	264	2878
CEP290	10	2	264	1007
RAB11FIP1	10	4	264	2878
CLPB	10	4	264	2878
SPRY4	10	4	264	2878
ITCH	10	2	264	1007
USP48	10	4	264	2878
MICALL1	10	5	264	5536
YTHDC1	10	3	264	1658
MTDH	10	1	264	658
TBC1D31	10	5	264	5536
LACTB	10	1	264	658
SSX2IP	10	4	264	2878
FUNDC1	10	10	264	8787
ARID2	10	4	264	2878
TUBB	10	2	264	1007
VMA21	10	10	264	8787
ANO5	10	4	264	2878
UNC5B	10	5	264	5536
IFNL3	10	-2	264	205
RBM20	10	4	264	2878
TUBB2B	10	10	264	8787
MIA3	10	2	264	1007
NUDT19	10	5	264	5536
SNX19	10	4	264	2878
MIR138-1	10	-5	264	11
MIR139	10	-3	264	119
MIR203A	10	-3	264	119
MIR22	10	0	264	473
MIR221	10	-3	264	119
MIR34A	10	-29	264	-223
ABCB7	9	2	531	1391
ABCA4	9	-2	531	60
ABL2	9	4	531	5269
ACADSB	9	4	531	5269
ACAT1	9	4	531	5269
ASIC2	9	9	531	8520
ACTA2	9	2	531	1391
ACTN4	9	3	531	2611
ACTN3	9	3	531	2611
ADCY3	9	9	531	8520
ADCY9	9	2	531	1391
ADD1	9	3	531	2611
ADD2	9	3	531	2611
ADD3	9	2	531	1391
AP1G1	9	3	531	2611
AK4	9	4	531	5269
AKT2	9	-3	531	-62
ALAS1	9	2	531	1391
ALDH9A1	9	3	531	2611
ALDH3A2	9	-1	531	206
ANK2	9	0	531	391
ANK3	9	2	531	1391
SLC25A6	9	3	531	2611
ANXA1	9	-1	531	206
ANXA6	9	4	531	5269
APBB1	9	2	531	1391
APBB2	9	9	531	8520
XIAP	9	0	531	391
APOB	9	-4	531	-148
RHOB	9	4	531	5269
ARHGAP1	9	3	531	2611
ARL1	9	2	531	1391
ARL2	9	3	531	2611
ARL3	9	3	531	2611
ASNS	9	3	531	2611
ASPH	9	0	531	391
ATF4	9	-10	531	-378
ATP1A1	9	3	531	2611
ATP1B3	9	0	531	391
ATP2A1	9	2	531	1391
ATP5F1A	9	3	531	2611
ALDH7A1	9	9	531	8520
ATP5F1B	9	0	531	391
ATP5PB	9	4	531	5269
ATP5PF	9	4	531	5269
ATP6V1B2	9	2	531	1391
ATP7A	9	2	531	1391
ATP5PO	9	4	531	5269
AUP1	9	2	531	1391
BCKDHA	9	3	531	2611
BCL9	9	4	531	5269
BCR	9	2	531	1391
BCS1L	9	3	531	2611
BNIP1	9	3	531	2611
BYSL	9	3	531	2611
C1QBP	9	4	531	5269
CAD	9	1	531	740
CALU	9	4	531	5269
CAMLG	9	3	531	2611
CAPZA1	9	3	531	2611
CASP8	9	-2	531	60
CCNB1	9	3	531	2611
CD86	9	3	531	2611
CD38	9	-3	531	-62
CDC5L	9	3	531	2611
CDK2	9	-3	531	-62
CDK4	9	-7	531	-291
CENPB	9	5	531	7235
CENPC	9	3	531	2611
CHD1	9	3	531	2611
CHD4	9	1	531	740
CHEK1	9	-4	531	-148
CLNS1A	9	4	531	5269
CLPTM1	9	2	531	1391
CLTA	9	2	531	1391
CLTC	9	2	531	1391
CNN2	9	5	531	7235
COL11A1	9	0	531	391
COL12A1	9	2	531	1391
COX4I1	9	1	531	740
COX5B	9	3	531	2611
COX6C	9	2	531	1391
COX15	9	3	531	2611
CPD	9	4	531	5269
CREBBP	9	-6	531	-256
CSK	9	4	531	5269
CSNK1E	9	2	531	1391
CSNK2A2	9	1	531	740
CSNK2B	9	1	531	740
CXADR	9	3	531	2611
CYP2B6	9	4	531	5269
CYP2C9	9	-1	531	206
CYP24A1	9	-3	531	-62
CYP51A1	9	2	531	1391
DAB2	9	4	531	5269
DAXX	9	4	531	5269
DBT	9	3	531	2611
DCTN1	9	3	531	2611
DDOST	9	2	531	1391
DMXL1	9	3	531	2611
DHX9	9	-2	531	60
DDX10	9	2	531	1391
DES	9	0	531	391
COCH	9	2	531	1391
DHPS	9	2	531	1391
DLD	9	3	531	2611
DLG1	9	1	531	740
DLST	9	2	531	1391
DNMT3B	9	-5	531	-213
DPP4	9	-6	531	-256
DSC2	9	2	531	1391
DSC3	9	4	531	5269
DTNA	9	3	531	2611
DYRK1A	9	-3	531	-62
TOR1A	9	2	531	1391
E2F6	9	2	531	1391
ECH1	9	3	531	2611
ECHS1	9	2	531	1391
PHC1	9	9	531	8520
EFNB1	9	2	531	1391
EFNB2	9	3	531	2611
CELSR2	9	1	531	740
EIF4G2	9	1	531	740
ELAVL1	9	-9	531	-356
EMD	9	1	531	740
MARK2	9	2	531	1391
ENDOG	9	3	531	2611
ENSA	9	3	531	2611
EP300	9	-7	531	-291
EPB41L1	9	3	531	2611
EPB41L2	9	3	531	2611
EPHA3	9	3	531	2611
EPHA4	9	5	531	7235
EPHA7	9	2	531	1391
EPHB4	9	1	531	740
EPS15	9	4	531	5269
EYA4	9	0	531	391
ERCC5	9	2	531	1391
ERH	9	3	531	2611
ETFA	9	3	531	2611
ETFB	9	3	531	2611
EYA1	9	3	531	2611
FABP4	9	-5	531	-213
FANCD2	9	-2	531	60
ACSL3	9	2	531	1391
FCGR3B	9	4	531	5269
FDFT1	9	3	531	2611
FDXR	9	2	531	1391
FEN1	9	-1	531	206
FGL1	9	-1	531	206
FKBP4	9	1	531	740
FOXM1	9	-17	531	-445
FLOT2	9	1	531	740
FYN	9	0	531	391
XRCC6	9	-2	531	60
GAB1	9	4	531	5269
GAK	9	2	531	1391
GAPDH	9	1	531	740
GAS8	9	3	531	2611
GCDH	9	9	531	8520
GJB2	9	3	531	2611
GLG1	9	3	531	2611
GLI3	9	1	531	740
GNA11	9	4	531	5269
GOLGA3	9	3	531	2611
GOLGB1	9	4	531	5269
GOT1	9	2	531	1391
GPD2	9	2	531	1391
GRB2	9	-3	531	-62
GRIN1	9	-2	531	60
GRSF1	9	2	531	1391
GSTP1	9	-3	531	-62
GTF2A1	9	3	531	2611
GTF2E2	9	3	531	2611
GTF2I	9	5	531	7235
GTF3C2	9	2	531	1391
GUSB	9	4	531	5269
GYG1	9	9	531	8520
H1-2	9	4	531	5269
HADHA	9	2	531	1391
HDLBP	9	4	531	5269
HELLS	9	1	531	740
HGF	9	-5	531	-213
HK1	9	3	531	2611
HLA-B	9	-16	531	-438
HMGCR	9	3	531	2611
HMOX2	9	3	531	2611
NR4A1	9	1	531	740
FOXA1	9	-1	531	206
HNRNPA1	9	-8	531	-324
HNRNPC	9	2	531	1391
HOXA5	9	1	531	740
HOXC9	9	9	531	8520
HOXD13	9	2	531	1391
HSPA1A	9	3	531	2611
HSPA1B	9	0	531	391
HSPA1L	9	1	531	740
HSPA2	9	4	531	5269
HSPA4	9	-5	531	-213
HSPA9	9	-2	531	60
HSP90AA1	9	-5	531	-213
ICAM1	9	-10	531	-378
MRPL58	9	3	531	2611
IDH2	9	-5	531	-213
IKBKB	9	2	531	1391
IL2RA	9	-3	531	-62
IL4	9	-4	531	-148
IL12A	9	-3	531	-62
IL18	9	-8	531	-324
IMPDH2	9	3	531	2611
INPPL1	9	4	531	5269
IRAK1	9	-2	531	60
IRF3	9	-10	531	-378
ITGA2	9	3	531	2611
ITGA4	9	2	531	1391
STT3A	9	1	531	740
ITPKA	9	4	531	5269
ITPR1	9	2	531	1391
ITPR2	9	1	531	740
ITPR3	9	2	531	1391
JUP	9	1	531	740
KARS1	9	2	531	1391
KIT	9	-10	531	-378
KLRD1	9	4	531	5269
KLC1	9	2	531	1391
KPNA4	9	0	531	391
KRT1	9	3	531	2611
KTN1	9	3	531	2611
LAMB1	9	3	531	2611
LASP1	9	5	531	7235
LDHB	9	4	531	5269
LEPR	9	2	531	1391
LETM1	9	1	531	740
LGALS3BP	9	-2	531	60
LGALS7	9	3	531	2611
LLGL1	9	3	531	2611
LMAN1	9	4	531	5269
LNPEP	9	2	531	1391
LRP6	9	-4	531	-148
CAPRIN1	9	3	531	2611
MAOA	9	-2	531	60
MAP2	9	3	531	2611
MARK3	9	3	531	2611
MAZ	9	2	531	1391
MCL1	9	-8	531	-324
MCM7	9	2	531	1391
MDH2	9	3	531	2611
MDM4	9	1	531	740
ME2	9	3	531	2611
MFAP1	9	3	531	2611
MITF	9	0	531	391
COX2	9	1	531	740
MTIF2	9	3	531	2611
MTR	9	3	531	2611
MUC5AC	9	0	531	391
TRIM37	9	3	531	2611
MYCN	9	-6	531	-256
MYO5A	9	2	531	1391
PPP1R12A	9	3	531	2611
NAP1L4	9	3	531	2611
NDUFA2	9	3	531	2611
NDUFA4	9	3	531	2611
NDUFA5	9	3	531	2611
NDUFA6	9	3	531	2611
NDUFA9	9	2	531	1391
NDUFA10	9	5	531	7235
NDUFB5	9	3	531	2611
NDUFB8	9	3	531	2611
NDUFB10	9	3	531	2611
NDUFS1	9	3	531	2611
NDUFS2	9	3	531	2611
NDUFS3	9	3	531	2611
NDUFV1	9	3	531	2611
NDUFS4	9	4	531	5269
NDUFS6	9	3	531	2611
NDUFS8	9	4	531	5269
NDUFV3	9	3	531	2611
DRG1	9	4	531	5269
NEO1	9	4	531	5269
NME1	9	2	531	1391
NME4	9	4	531	5269
NOP2	9	4	531	5269
NPAT	9	3	531	2611
NRAS	9	-12	531	-403
NRF1	9	1	531	740
NSF	9	3	531	2611
ROR2	9	3	531	2611
DDR2	9	4	531	5269
NUCB1	9	3	531	2611
NVL	9	2	531	1391
OAT	9	3	531	2611
OCRL	9	3	531	2611
OGDH	9	2	531	1391
TNFRSF11B	9	-4	531	-148
OSM	9	3	531	2611
OXA1L	9	2	531	1391
P4HA1	9	1	531	740
PA2G4	9	-1	531	206
PALM	9	4	531	5269
PAX6	9	1	531	740
PDCL	9	1	531	740
PCDH7	9	3	531	2611
PCM1	9	3	531	2611
PCNT	9	2	531	1391
CDK17	9	3	531	2611
PDE3B	9	3	531	2611
PDE8A	9	5	531	7235
ENPP1	9	0	531	391
GATB	9	3	531	2611
PFAS	9	2	531	1391
PFDN5	9	4	531	5269
PFKFB3	9	-1	531	206
PFKP	9	1	531	740
PGD	9	3	531	2611
PGK1	9	3	531	2611
PIK3C2A	9	3	531	2611
PIK3R2	9	2	531	1391
PKP2	9	3	531	2611
PLA2G2A	9	4	531	5269
PLN	9	3	531	2611
PLOD1	9	1	531	740
PLRG1	9	0	531	391
PLS3	9	4	531	5269
PLXNA1	9	5	531	7235
PMS1	9	3	531	2611
EXOSC10	9	3	531	2611
PODXL	9	1	531	740
POLA1	9	4	531	5269
POLD1	9	3	531	2611
POLE	9	3	531	2611
POLR2A	9	0	531	391
POLR2B	9	0	531	391
POLRMT	9	2	531	1391
PON1	9	-13	531	-413
PON2	9	2	531	1391
POR	9	-2	531	60
PPIB	9	2	531	1391
PPP1CC	9	2	531	1391
PPP2R5D	9	1	531	740
PPP5C	9	3	531	2611
PRCC	9	3	531	2611
PRIM2	9	9	531	8520
PRKAR2B	9	3	531	2611
PKN2	9	2	531	1391
PRKCSH	9	4	531	5269
PRKCZ	9	5	531	7235
EIF2AK2	9	1	531	740
DNAJC3	9	3	531	2611
PSMC2	9	3	531	2611
PSMC4	9	1	531	740
PSMC5	9	3	531	2611
PSMC6	9	3	531	2611
PSMD4	9	1	531	740
PTK7	9	3	531	2611
TWF1	9	9	531	8520
PTPN13	9	3	531	2611
PTPN14	9	2	531	1391
PTPRG	9	9	531	8520
NECTIN2	9	4	531	5269
PWP2	9	2	531	1391
PEX19	9	3	531	2611
PYCR1	9	2	531	1391
RAB5C	9	3	531	2611
RAD21	9	-3	531	-62
RAF1	9	4	531	5269
RALA	9	4	531	5269
RBBP4	9	0	531	391
RCN1	9	3	531	2611
RCN2	9	4	531	5269
UPF1	9	4	531	5269
REST	9	0	531	391
RFC1	9	-1	531	206
RFC4	9	5	531	7235
RFC5	9	5	531	7235
ROBO2	9	9	531	8520
RP2	9	9	531	8520
RPA1	9	2	531	1391
RPL3	9	1	531	740
RPL4	9	2	531	1391
RPL6	9	4	531	5269
RPL7	9	3	531	2611
RPL7A	9	1	531	740
RPL8	9	2	531	1391
RPL9	9	1	531	740
RPL11	9	1	531	740
RPL13	9	1	531	740
RPL17	9	4	531	5269
RPL18A	9	2	531	1391
RPL21	9	4	531	5269
RPL28	9	1	531	740
RPL31	9	0	531	391
RPL34	9	2	531	1391
RPLP0	9	0	531	391
MRPL12	9	3	531	2611
RPN1	9	0	531	391
RPN2	9	1	531	740
RPS3A	9	0	531	391
RPS8	9	1	531	740
RPS15A	9	2	531	1391
RPS23	9	2	531	1391
RPS24	9	3	531	2611
RPS27	9	2	531	1391
SCD	9	0	531	391
SCN2A	9	2	531	1391
SCO1	9	3	531	2611
SDC1	9	-4	531	-148
SDC2	9	1	531	740
SDF2	9	3	531	2611
SDHB	9	0	531	391
SELP	9	3	531	2611
SFRP5	9	3	531	2611
SRSF1	9	-3	531	-62
SRSF3	9	1	531	740
SRSF6	9	2	531	1391
SRSF7	9	3	531	2611
SGTA	9	4	531	5269
ITSN1	9	4	531	5269
SLC1A3	9	3	531	2611
SLC1A5	9	2	531	1391
SLC3A2	9	1	531	740
SLC4A2	9	3	531	2611
SLC5A2	9	3	531	2611
SLC5A3	9	3	531	2611
SLC6A8	9	2	531	1391
SLC7A2	9	9	531	8520
SLC9A1	9	1	531	740
