## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
Tcrb	0	-6	521	-233
Tnf	0	-6	521	-233
Clu	0	-5	521	61
Wt1	0	-5	521	61
Esr1	0	-5	521	61
Slc6a3	0	-6	521	-233
Cd9	0	-5	521	61
Psmb9	0	-7	521	-425
Snap25	0	-8	521	-483
Slc16a1	0	-7	521	-425
Klkb1	0	-6	521	-233
Camk4	0	-7	521	-425
Ntrk2	0	-6	521	-233
Th	0	-6	521	-233
Pld1	0	-4	521	266
Nppb	0	-5	521	61
Avpr1a	0	-6	521	-233
Slc2a4	0	-9	521	-503
Cyp19a1	0	-6	521	-233
Esr2	0	-7	521	-425
Igf2r	0	-5	521	61
Pgr	0	-6	521	-233
Cdkn2a	0	-4	521	266
Gata1	0	-7	521	-425
Htr2c	0	-6	521	-233
Gnrh1	0	-7	521	-425
Cnr1	0	-8	521	-483
P2ry1	0	-5	521	61
Pdgfa	0	-6	521	-233
Smo	0	-5	521	61
Cnp	0	-5	521	61
Mfge8	0	-5	521	61
Aqp4	0	-6	521	-233
Cacnb3	0	-7	521	-425
Abcc2	0	-4	521	266
Egf	0	-5	521	61
Phb1	0	-6	521	-233
Sftpd	0	-4	521	266
Spp1	0	-6	521	-233
Vcam1	0	-4	521	266
Ahsg	0	-6	521	-233
Faslg	0	-7	521	-425
Camk2a	0	-7	521	-425
Cav1	0	-8	521	-483
Cpt2	0	-5	521	61
Ctsc	0	-6	521	-233
Dio1	0	-7	521	-425
F2r	0	-4	521	266
Gabrb2	0	-6	521	-233
Gdnf	0	-8	521	-483
Glrb	0	-7	521	-425
Kcna2	0	-6	521	-233
Kcne1	0	-6	521	-233
Slc6a4	0	-8	521	-483
Abcc9	0	-3	521	324
Kdr	0	-6	521	-233
Map2	0	-6	521	-233
Hcrtr2	0	-7	521	-425
Lep	0	-7	521	-425
Plau	0	-8	521	-483
Tnfrsf1a	0	-5	521	61
Prkaca	0	-6	521	-233
Cyp3a23-3a1	0	-6	521	-233
Fn1	0	-5	521	61
Scn5a	0	-6	521	-233
Cd38	0	-6	521	-233
Cpe	0	-6	521	-233
Glra1	0	-7	521	-425
Rasa1	0	-6	521	-233
Ppard	0	-8	521	-483
Col12a1	0	-6	521	-233
Rbp4	0	-6	521	-233
Tgfb3	0	-8	521	-483
Apoe	0	-5	521	61
Hnf4a	0	-5	521	61
S100b	0	-6	521	-233
Myh9	0	-6	521	-233
Ppara	0	-4	521	266
Maob	0	-7	521	-425
COX2	0	-6	521	-233
Rheb	0	-5	521	61
Gal	0	-7	521	-425
Vnn1	0	-6	521	-233
Jag1	0	-7	521	-425
Mstn	0	-6	521	-233
Capn2	0	-7	521	-425
Capn3	0	-7	521	-425
Aqp6	0	-6	521	-233
Cd36	0	-6	521	-233
Psen1	0	-6	521	-233
Il18	0	-7	521	-425
Drd3	0	-7	521	-425
Mgll	0	-6	521	-233
Oprl1	0	-6	521	-233
Adora1	0	-5	521	61
Adora2b	0	-6	521	-233
Sigmar1	0	-6	521	-233
Smad2	0	-6	521	-233
Bmp2	0	-5	521	61
Irs2	0	-6	521	-233
Bace1	0	-6	521	-233
Ccl11	0	-5	521	61
Adra1a	0	-5	521	61
S1pr2	0	-5	521	61
Aif1	0	-6	521	-233
Tfpi	0	-7	521	-425
Slc26a4	0	-6	521	-233
Por	0	-8	521	-483
Ddit3	0	-6	521	-233
Pdia3	0	-5	521	61
Rgs4	0	-4	521	266
Slc1a2	0	-9	521	-503
Gstt2	0	-6	521	-233
Mapk13	0	-6	521	-233
Sgk1	0	-5	521	61
Timp2	0	-5	521	61
Kcnk3	0	-5	521	61
Scn10a	0	-7	521	-425
Gjb1	0	-7	521	-425
Htr2a	0	-5	521	61
Adam10	0	-6	521	-233
Cyp11a1	0	-6	521	-233
Kcnq3	0	-6	521	-233
Gabrd	0	-7	521	-425
Pacsin1	0	-6	521	-233
Gabra6	0	-5	521	61
Kcnj2	0	-8	521	-483
Ptprn2	0	-7	521	-425
Cacna1g	0	-7	521	-425
S1pr1	0	-9	521	-503
Resp18	0	-6	521	-233
Ednrb	0	-6	521	-233
Sftpc	0	-5	521	61
Cdk1	0	-5	521	61
Cr1l	0	-5	521	61
Fgf2	0	-7	521	-425
Flt1	0	-6	521	-233
Kcnn2	0	-4	521	266
Kcnn3	0	-6	521	-233
Prkg1	0	-5	521	61
Rgs12	0	-5	521	61
Sstr2	0	-5	521	61
Ucp2	0	-6	521	-233
Arc	0	-7	521	-425
Anxa2	0	-3	521	324
Prkn	0	-8	521	-483
Uts2r	0	-6	521	-233
Apln	0	-6	521	-233
Hpx	0	-5	521	61
Casp9	0	-6	521	-233
Ccnd1	0	-7	521	-425
Gas6	0	-5	521	61
Robo1	0	-7	521	-425
Crhr1	0	-6	521	-233
Ninj2	0	-6	521	-233
Phlpp1	0	-5	521	61
Ghrl	0	-5	521	61
Camkk1	0	-5	521	61
Mapk12	0	-6	521	-233
Lmna	0	-7	521	-425
Nrxn1	0	-5	521	61
Trpc3	0	-5	521	61
Prmt1	0	-5	521	61
Clock	0	-7	521	-425
Cttn	0	-5	521	61
Npvf	0	-5	521	61
Cmklr1	0	-7	521	-425
Fhl2	0	-5	521	61
Mmp8	0	-7	521	-425
Ccn2	0	-5	521	61
Birc5	0	-6	521	-233
Casp8	0	-6	521	-233
Lrat	0	-5	521	61
Calr	0	-4	521	266
Pfn1	0	-4	521	266
Des	0	-4	521	266
Cdc42	0	-5	521	61
Wnt5a	0	-7	521	-425
Bad	0	-6	521	-233
Crhr2	0	-6	521	-233
Unc13a	0	-6	521	-233
Gphn	0	-6	521	-233
Htr7	0	-5	521	61
Nr1i3	0	-6	521	-233
Bche	0	-6	521	-233
Mertk	0	-6	521	-233
Slit1	0	-7	521	-425
Cldn1	0	-5	521	61
Aqp3	0	-6	521	-233
Kcnn4	0	-5	521	61
Kcnk10	0	-6	521	-233
Cybb	0	-5	521	61
Apaf1	0	-5	521	61
Mcam	0	-6	521	-233
Srebf1	0	-7	521	-425
Prkaa2	0	-7	521	-425
Fgfr1	0	-7	521	-425
Fabp3	0	-6	521	-233
Hsf1	0	-5	521	61
Axin1	0	-5	521	61
Bdkrb1	0	-4	521	266
Mef2d	0	-5	521	61
Chrm2	0	-5	521	61
Creb1	0	-10	521	-507
Dbn1	0	-6	521	-233
Gabbr1	0	-6	521	-233
Mmp2	0	-6	521	-233
Mmp14	0	-5	521	61
Nfkb1	0	-6	521	-233
P2rx3	0	-6	521	-233
Stxbp2	0	-7	521	-425
Tgfb2	0	-6	521	-233
Ube2b	0	-6	521	-233
Pax8	0	-7	521	-425
Dgkz	0	-7	521	-425
Ube2d3	0	-6	521	-233
Prep	0	-5	521	61
Ocln	0	-5	521	61
Cdh1	0	-7	521	-425
Ppargc1a	0	-9	521	-503
Cdkn1b	0	-6	521	-233
Sort1	0	-6	521	-233
Pias3	0	-5	521	61
Gabbr2	0	-7	521	-425
Wfs1	0	-6	521	-233
Rtn4	0	-6	521	-233
Rps6kb1	0	-7	521	-425
Ttn	0	-6	521	-233
Kcnq1	0	-6	521	-233
Dnmt1	0	-7	521	-425
Tcf4	0	-5	521	61
Nr1i2	0	-6	521	-233
Hcn1	0	-6	521	-233
Sfrp1	0	-7	521	-425
Adcy7	0	-7	521	-425
Maged1	0	-6	521	-233
Slc4a4	0	-7	521	-425
Slc17a6	0	-6	521	-233
Hdac5	0	-7	521	-425
Abcg1	0	-6	521	-233
Bmp7	0	-6	521	-233
Prkcq	0	-5	521	61
Twist1	0	-5	521	61
Vegfb	0	-7	521	-425
Pdk4	0	-7	521	-425
Trpc1	0	-6	521	-233
Chi3l1	0	-5	521	61
Ptch1	0	-6	521	-233
Prdx6	0	-6	521	-233
Pgf	0	-5	521	61
Sqstm1	0	-6	521	-233
C5ar1	0	-6	521	-233
Fstl3	0	-6	521	-233
Asah2	0	-7	521	-425
Cxcl2	0	-6	521	-233
Vegfc	0	-7	521	-425
Bik	0	-6	521	-233
Hdgf	0	-6	521	-233
Itga6	0	-5	521	61
Ntn1	0	-6	521	-233
Uox	0	-6	521	-233
Dusp1	0	-6	521	-233
Tjp2	0	-8	521	-483
Gripap1	0	-7	521	-425
Mprip	0	-6	521	-233
Eif4ebp1	0	-7	521	-425
Slc17a7	0	-6	521	-233
Tnc	0	-6	521	-233
Nlgn1	0	-6	521	-233
Gsr	0	-7	521	-425
Ptpn6	0	-6	521	-233
Lpar1	0	-7	521	-425
Ccr3	0	-7	521	-425
Ccr5	0	-6	521	-233
Eif4e	0	-5	521	61
Stim2	0	-7	521	-425
Ppp2r2c	0	-7	521	-425
Rhoa	0	-6	521	-233
Pfkfb3	0	-6	521	-233
Sv2b	0	-5	521	61
Sv2a	0	-5	521	61
Sf1	0	-5	521	61
Slco2b1	0	-5	521	61
Dgka	0	-7	521	-425
Rtn3	0	-7	521	-425
Il23a	0	-6	521	-233
Trim9	0	-6	521	-233
Tmprss2	0	-5	521	61
Cs	0	-5	521	61
Adgrl3	0	-5	521	61
Snrk	0	-7	521	-425
Slc40a1	0	-6	521	-233
Kcnq2	0	-7	521	-425
Mmp3	0	-6	521	-233
Mmp13	0	-8	521	-483
Il13ra2	0	-5	521	61
Mpc1	0	-7	521	-425
Giot1	0	-6	521	-233
Slc6a5	0	-4	521	266
Mat2a	0	-7	521	-425
Foxc2	0	-6	521	-233
Stau2	0	-5	521	61
Camk1	0	-5	521	61
Nme7	0	-6	521	-233
Sftpb	0	-5	521	61
Stip1	0	-4	521	266
Cklf	0	-6	521	-233
Akap9	0	-5	521	61
Tpcn1	0	-6	521	-233
Ces2a	0	-7	521	-425
Adipoq	0	-7	521	-425
Trib3	0	-7	521	-425
Myocd	0	-6	521	-233
Cox5a	0	-7	521	-425
Ppp1r32	0	-5	521	61
Ffar1	0	-6	521	-233
Cyp3a2	0	-6	521	-233
Gjc1	0	-6	521	-233
Npc1	0	-4	521	266
Slc17a8	0	-6	521	-233
Gpr3	0	-7	521	-425
Rln3	0	-6	521	-233
Aip	0	-7	521	-425
Asic3	0	-6	521	-233
Chaf1b	0	-5	521	61
Kiss1	0	-7	521	-425
Prg4	0	-5	521	61
Lefty2	0	-6	521	-233
Tlr5	0	-6	521	-233
Plxna2	0	-5	521	61
Loxl2	0	-6	521	-233
Itm2b	0	-6	521	-233
Appl1	0	-6	521	-233
Gnl3	0	-5	521	61
Irf4	0	-8	521	-483
Hspa9	0	-4	521	266
Galns	0	-5	521	61
Fpr1	0	-7	521	-425
Katna1	0	-6	521	-233
Ffar2	0	-7	521	-425
Tjp1	0	-7	521	-425
Bag3	0	-5	521	61
Cpxm2	0	-5	521	61
Sirt3	0	-7	521	-425
Esrra	0	-4	521	266
Trpm6	0	-4	521	266
Clic2	0	-5	521	61
Nus1	0	-7	521	-425
Nodal	0	-6	521	-233
Mcu	0	-6	521	-233
C1qtnf3	0	-6	521	-233
Wwtr1	0	-9	521	-503
Cisd2	0	-5	521	61
Snph	0	-6	521	-233
Ythdf1	0	-4	521	266
Lhx2	0	-7	521	-425
Irf5	0	-6	521	-233
Rarres2	0	-8	521	-483
Hoxa9	0	-6	521	-233
Htra2	0	-7	521	-425
Gfpt1	0	-5	521	61
Pef1	0	-8	521	-483
Dhcr24	0	-5	521	61
Nlrc4	0	-4	521	266
Mapre3	0	-6	521	-233
Setd3	0	-6	521	-233
Sp7	0	-5	521	61
Hepacam	0	-6	521	-233
Abcg4	0	-6	521	-233
Ltf	0	-7	521	-425
Myd88	0	-8	521	-483
Il17a	0	-8	521	-483
Pdcd1	0	-7	521	-425
Tert	0	-6	521	-233
Cul4b	0	-5	521	61
Atp6ap2	0	-7	521	-425
Wnt3a	0	-4	521	266
Trim16	0	-4	521	266
Hoxb13	0	-5	521	61
Sirt7	0	-6	521	-233
Bach1	0	-5	521	61
Atf6	0	-7	521	-425
Prox1	0	-5	521	61
