## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
HSPB1	15	-8	122	22	12	6	1433	-170
KPNB1	15	-3	122	198	3	3	4185	-3984
PTK2	15	-1	122	360	34	21	557	-304
TRAF6	15	-7	122	43	24	12	777	-155
XRCC5	15	-9	122	1	9	7	1877	-2080
KEAP1	15	-8	122	22	24	10	781	-63
TRIM28	15	-18	122	-72	8	-1	2049	831
PPARGC1A	15	0	122	473	83	3	212	67
BRD4	15	-10	122	-15	47	29	410	-247
SLC7A11	15	-4	122	156	11	-4	1612	819
NEAT1	15	-21	122	-80	15	7	1231	-149
MIR155	15	-16	122	-66	22	9	843	-22
ATM	14	-11	142	-35	65	7	286	73
ATP1A1	14	-13	142	-62	4	3	3240	-1520
CCND1	14	-8	142	23	86	25	206	-1
CD44	14	-10	142	-19	127	69	134	-80
CD47	14	0	142	590	74	45	247	-182
CDC20	14	-1	142	453	14	-7	1263	696
CDC42	14	0	142	590	50	20	389	-34
CST3	14	-7	142	48	105	51	164	-61
ENO1	14	-12	142	-52	17	-5	1084	538
EWSR1	14	-8	142	23	10	7	1675	-1021
FOXM1	14	-12	142	-52	17	14	1065	-1641
FOXO1	14	-5	142	136	49	19	397	-25
GAPDH	14	-3	142	244	183	108	87	-72
GSTM1	14	-2	142	340	6	1	2475	617
HNRNPK	14	-8	142	23	4	-6	3418	2302
HNRNPU	14	-7	142	48	2	-3	5139	3225
IDH2	14	-5	142	136	14	11	1247	-1296
JUP	14	-1	142	453	11	2	1507	366
MLH1	14	3	142	1208	40	11	486	49
NPM1	14	-16	142	-82	27	10	690	-5
OXTR	14	-2	142	340	91	37	195	-34
ABCB1	14	-10	142	-19	227	65	57	-5
PIK3CA	14	-15	142	-73	23	13	806	-270
PLK1	14	-6	142	91	23	12	798	-169
RAD51	14	-4	142	178	34	3	555	161
RB1	14	-3	142	244	204	27	70	22
SRSF1	14	0	142	590	13	7	1381	-317
SMARCA4	14	-13	142	-62	23	5	822	168
SP1	14	-3	142	244	25	-1	737	267
SPTBN1	14	-1	142	453	8	6	2033	-1716
MAP3K7	14	0	142	590	10	1	1718	490
TLR2	14	-7	142	48	4	1	3159	634
VCAM1	14	4	142	1561	60	22	311	-8
TRPV1	14	-4	142	178	235	69	55	-4
ULK1	14	2	142	942	26	16	720	-410
TNFSF11	14	6	142	2776	122	9	140	36
LATS1	14	1	142	754	9	8	1855	-3536
MATR3	14	-12	142	-52	5	4	2713	-1815
WWTR1	14	0	142	590	10	7	1733	-1323
FOXP1	14	5	142	2073	6	-4	2435	1366
TREM2	14	-5	142	136	56	33	342	-186
GAS5	14	-10	142	-19	1	-2	8389	5197
PNPLA3	14	3	142	1208	12	1	1500	471
HAVCR2	14	-2	142	340	36	20	544	-208
TIGIT	14	1	142	754	59	44	315	-452
FNDC5	14	-8	142	23	23	3	797	213
MIR146A	14	-14	142	-68	4	3	3814	-2922
MIR27A	14	-4	142	178	0	0
MIR29A	14	-1	142	453	0	0
ACLY	13	-5	191	129	0	0
ATP5F1A	13	-9	191	-26	4	4	3255	-4002
ATP5F1B	13	-11	191	-68	4	2	3259	-171
CDK6	13	-9	191	-26	8	1	2017	537
CLTC	13	-4	191	195	5	1	2755	596
COL1A1	13	3	191	1512	58	11	323	54
COMT	13	-10	191	-47	0	0
CPT1A	13	2	191	1159	93	47	189	-88
MAPK14	13	2	191	1159	9	3	1788	189
CCN2	13	5	191	2727	27	18	685	-505
DDX5	13	-12	191	-84	9	5	1801	-399
DHX9	13	-5	191	129	4	1	3264	603
FLT3	13	-1	191	541	49	26	398	-127
FMR1	13	-8	191	-1	66	16	281	26
GFAP	13	3	191	1512	65	-2	285	111
GJA1	13	-5	191	129	19	7	953	39
GSK3B	13	-9	191	-26	5	0	3148	1055
HMGA1	13	-6	191	87	15	8	1200	-284
HNRNPD	13	-11	191	-68	9	4	1833	-85
ICAM1	13	1	191	893	141	42	115	-6
JAK2	13	-11	191	-68	95	57	184	-137
KPNA2	13	-8	191	-1	0	0	9489	1300
KRT1	13	2	191	1159	23	12	805	-169
LDHB	13	-1	191	541	4	2	3434	-285
LRP1	13	4	191	2024	49	19	395	-18
CAPRIN1	13	-3	191	291	10	8	1681	-1880
MDM2	13	-25	191	-154	81	10	224	56
MET	13	-8	191	-1	88	48	201	-104
MSH2	13	-4	191	195	38	16	513	-31
MUC1	13	-7	191	42	14	12	1250	-2057
MYH9	13	-11	191	-68	18	12	980	-583
HNRNPM	13	-16	191	-122	0	0
TNFRSF11B	13	2	191	1159	75	16	243	33
PTPN1	13	-1	191	541	14	-3	1284	593
S100A9	13	-7	191	42	12	10	1475	-2286
SNAI1	13	-2	191	404	21	1	884	291
SOX9	13	-8	191	-1	78	25	230	-12
ST2	13	2	191	1159	1	1	7495	-2037
ADAM17	13	-4	191	195	27	11	684	-51
TCF7L2	13	-4	191	195	22	9	855	-24
TOP2A	13	-7	191	42	8	6	2016	-1624
UBA1	13	-5	191	129	7	3	2168	4
UBE2D2	13	-9	191	-26	2	2	5347	-3173
VIM	13	-17	191	-131	92	31	190	-13
XBP1	13	4	191	2024	29	20	647	-580
YWHAZ	13	-12	191	-84	7	4	2344	-649
SOCS3	13	1	191	893	10	7	1696	-1095
AIMP1	13	0	191	705	0	-2	9598	5780
LONP1	13	-1	191	541	5	5	3019	-6218
WTAP	13	1	191	893	4	4	3465	-4697
MFN2	13	0	191	705	14	-1	1255	482
RACK1	13	-5	191	129	5	3	2920	-838
PRMT5	13	-8	191	-1	17	14	1097	-1845
DDX17	13	-3	191	291	1	-1	7175	3265
PRPF8	13	-3	191	291	5	5	2844	-4788
WWP2	13	5	191	2727	0	0	10086	967
IL22	13	0	191	705	42	26	458	-280
TLR9	13	-1	191	541	6	2	2440	285
EGLN1	13	6	191	3811	13	7	1410	-346
TRPM7	13	7	191	5651	5	3	2751	-587
YTHDF1	13	4	191	2024	4	3	3615	-2265
MTDH	13	6	191	3811	3	1	4567	289
TUBB	13	-11	191	-68	3	0	4705	1496
C9orf72	13	-5	191	129	47	22	409	-84
MIR126	13	-7	191	42	0	0
MIR222	13	1	191	893	0	-1	12635	5878
CDKN2B-AS1	13	-1	191	541	3	3	4726	-7955
ABCA1	12	-3	258	337	23	-1	789	293
ACTN4	12	-2	258	474	0	0	8871	1683
XIAP	12	2	258	1445	23	7	832	76
BMAL1	12	4	258	2660	0	0
ATF4	12	2	258	1445	22	6	837	125
CASP8	12	-2	258	474	27	12	686	-100
CCNB1	12	-1	258	638	14	8	1260	-347
CCR5	12	-2	258	474	245	12	47	18
CRP	12	-15	258	-178	999	217	1	-1
CTNND1	12	-5	258	128	1	0	6392	1701
CYP3A5	12	2	258	1445	18	-5	1003	480
DBN1	12	2	258	1445	5	2	2795	139
DPP4	12	-3	258	337	82	11	218	51
E2F1	12	-15	258	-178	23	13	803	-267
EEF2	12	-7	258	20	23	5	811	169
EPHA2	12	2	258	1445	12	11	1504	-5313
EMD	12	0	258	826	20	4	902	196
ERBB3	12	1	258	1092	22	14	849	-450
FKBP4	12	-5	258	128	7	7	2231	-5445
FLT1	12	-4	258	224	11	1	1558	462
FN1	12	-3	258	337	127	30	133	9
FUS	12	-20	258	-204	22	11	857	-154
GATA3	12	-3	258	337	42	22	455	-135
GLP1R	12	5	258	3744	70	23	261	-10
GRN	12	-3	258	337	25	4	743	173
HADHB	12	-3	258	337	3	2	4085	-1017
HDAC2	12	-11	258	-114	9	7	1811	-1670
HLA-DRB1	12	-12	258	-135	51	21	383	-43
HNRNPA2B1	12	-13	258	-151	3	1	4126	436
HSPD1	12	-15	258	-178	57	27	331	-86
IL1A	12	3	258	1957	1	-7	6395	5118
KRT2	12	0	258	826	1	0	6366	1714
KRT9	12	2	258	1445	5	1	2750	599
KRT10	12	2	258	1445	13	-1	1340	525
LMNB1	12	-2	258	474	17	9	1079	-247
SMAD3	12	-14	258	-168	22	14	846	-439
MRE11	12	-1	258	638	15	9	1198	-469
MTHFD1	12	-5	258	128	12	2	1419	379
PPP1R12A	12	1	258	1092	1	1	6976	-1379
SERPINE1	12	-5	258	128	90	26	196	3
PFKFB3	12	0	258	826	11	2	1594	386
PPP2R1A	12	-6	258	62	2	2	5473	-3559
PRKDC	12	-19	258	-202	24	4	782	187
MAPK1	12	-2	258	474	17	6	1076	68
RAC1	12	-10	258	-93	31	12	604	-5
RELA	12	-6	258	62	145	109	110	-232
RPL31	12	-1	258	638	0	0	9251	1430
RPS3	12	-10	258	-93	2	-2	5126	2849
SET	12	2	258	1445	4	-4	3454	2120
SFPQ	12	-9	258	-68	0	0	12879	5
SLC2A1	12	-10	258	-93	0	0
SMARCB1	12	-7	258	20	20	14	928	-784
TRIM21	12	-11	258	-114	16	8	1153	-214
HNF1A	12	-2	258	474	18	3	1031	239
TCP1	12	-9	258	-68	8	6	2093	-2004
TLN1	12	-7	258	20	4	-1	3369	1463
TLR3	12	-5	258	128	10	7	1650	-931
TNFAIP3	12	0	258	826	11	0	1578	572
TNFRSF1A	12	1	258	1092	31	17	601	-204
CCT3	12	-8	258	-25	4	2	3435	-286
UBC	12	-14	258	-168	14	-1	1296	506
XIST	12	-5	258	128	68	30	270	-52
YWHAE	12	-6	258	62	4	2	3606	-427
TAF15	12	-1	258	638	2	-1	5226	2386
USP9X	12	-5	258	128	11	2	1599	382
RUVBL1	12	-14	258	-168	0	-2	9865	5960
RIPK1	12	-9	258	-68	31	19	613	-330
USP14	12	-6	258	62	1	1	6968	-1375
RBM8A	12	6	258	5584	0	-2	9938	6012
CCT7	12	-5	258	128	0	0	9740	1155
IGF2BP1	12	-3	258	337	4	2	3532	-349
IGF2BP3	12	-4	258	224	4	4	3534	-5104
CCT8	12	-6	258	62	0	0	10269	888
YWHAQ	12	-3	258	337	1	1	7378	-1869
SNRNP200	12	-7	258	20	1	1	7628	-2253
DICER1	12	0	258	826	113	46	151	-25
UBR5	12	-4	258	224	4	3	3654	-2354
YTHDF2	12	-14	258	-168	4	4	3777	-7859
LIMA1	12	0	258	826	1	1	8302	-3277
IL23A	12	4	258	2660	30	17	614	-235
RNF31	12	6	258	5584	1	1	7471	-1989
ATAD3A	12	-8	258	-25	0	0
NAT10	12	-6	258	62	0	-1	10707	4674
FBXW7	12	-12	258	-135	12	1	1498	470
TRPV4	12	-4	258	224	14	4	1253	188
NCAPG	12	-1	258	638	1	1	8124	-3004
PINK1	12	-3	258	337	22	-6	862	414
CDCA3	12	6	258	5584	1	-1	8062	3767
MUC16	12	2	258	1445	18	9	982	-160
LRRK2	12	-9	258	-68	50	19	385	-17
PGAM5	12	-4	258	224	0	-1	11826	5287
H19	12	-3	258	337	10	6	1754	-750
MIR144	12	-4	258	224	0	0
MIR149	12	1	258	1092	0	0
MIR150	12	2	258	1445	0	0
MIR200C	12	-2	258	474	0	0	12549	34
MIR210	12	3	258	1957	0	0	12564	32
MIR22	12	-1	258	638	0	0
JAG1	11	3	356	2562	26	15	724	-308
AGTR1	11	-3	356	376	53	16	366	39
AHSG	11	0	356	994	12	7	1453	-440
ALDOA	11	-4	356	239	28	7	651	98
ANXA5	11	-3	356	376	72	41	256	-150
APOB	11	-10	356	-166	202	72	72	-13
ARG1	11	4	356	3646	17	6	1044	79
ATP2A2	11	-7	356	-36	8	6	1930	-1346
ATRX	11	0	356	994	21	-3	879	377
B2M	11	3	356	2562	159	68	95	-36
CAD	11	-7	356	-36	15	11	1179	-969
SERPINH1	11	-5	356	126	4	1	3367	614
CDK5	11	2	356	1859	15	9	1234	-556
CKB	11	-4	356	239	10	7	1655	-942
CTSB	11	-3	356	376	40	22	484	-164
CYP2C19	11	-11	356	-191	159	45	96	-5
DDX3X	11	-12	356	-212	17	6	1059	68
DHX15	11	-10	356	-166	2	1	4931	122
DKC1	11	1	356	1347	5	-2	2804	1361
DRD2	11	-1	356	728	213	60	64	-5
DSG2	11	-4	356	239	7	7	2165	-4934
EDN1	11	-7	356	-36	0	0
EEF1D	11	-9	356	-123	2	2	4965	-2424
EPRS1	11	-8	356	-78	4	3	3309	-1628
ERN1	11	-2	356	540	14	6	1273	-25
ESR2	11	-5	356	126	39	12	495	40
FABP5	11	2	356	1859	6	5	2478	-2368
FGFR1	11	0	356	994	23	13	820	-297
FGFR3	11	-1	356	728	38	1	515	183
FLNB	11	-1	356	728	2	-4	5007	3362
GC	11	-3	356	376	24	7	756	91
GPC3	11	4	356	3646	17	12	1064	-806
PDIA3	11	-10	356	-166	6	2	2501	259
GSTP1	11	-9	356	-123	19	4	957	177
MSH6	11	-6	356	30	11	8	1580	-1198
H1-4	11	1	356	1347	4	0	3244	1057
HSD17B10	11	0	356	994	1	0	6545	1654
HMOX1	11	-2	356	540	12	4	1426	162
HNRNPC	11	-5	356	126	5	2	2893	101
HNRNPH1	11	-12	356	-212	3	3	4124	-3820
PRMT1	11	-2	356	540	8	5	1998	-728
HSPA1A	11	-13	356	-233	10	2	1633	381
HSPA9	11	-18	356	-287	6	6	2500	-5082
ILF2	11	-12	356	-212	5	2	2861	121
ILF3	11	-12	356	-212	1	-1	6699	3103
KCNJ11	11	6	356	8520	7	0	2243	767
KDR	11	-3	356	376	19	9	974	-152
KIF11	11	-6	356	30	1	1	6696	-1004
LGALS1	11	-5	356	126	9	1	1845	512
MDH2	11	-1	356	728	4	1	3315	614
MIF	11	-9	356	-123	26	2	713	206
KMT2A	11	-6	356	30	43	18	446	-45
MMP7	11	-5	356	126	15	10	1194	-692
MPO	11	0	356	994	129	20	130	20
MYO1B	11	-3	356	376	0	-2	9229	5595
MUC5AC	11	3	356	2562	11	0	1586	573
MYCN	11	0	356	994	44	22	432	-111
MYD88	11	-6	356	30	80	16	227	32
NOP2	11	-3	356	376	0	0	9375	1339
NOS3	11	-13	356	-233	55	24	346	-51
NUMA1	11	-7	356	-36	3	2	4256	-1203
P2RX7	11	-1	356	728	17	9	1091	-252
PEBP1	11	5	356	5486	5	4	2734	-1850
PRKN	11	-15	356	-266	58	19	324	9
PCBP1	11	-16	356	-276	7	4	2310	-603
PCBP2	11	-12	356	-212	11	9	1601	-2273
PFN1	11	-9	356	-123	11	9	1592	-2163
PGAM1	11	0	356	994	0	0
SERPINA1	11	-7	356	-36	114	33	149	6
PLOD2	11	0	356	994	0	0
EXOSC10	11	-1	356	728	0	0	9731	1157
PON1	11	-2	356	540	15	10	1216	-777
POU5F1	11	5	356	5486	56	14	337	40
PPP1CC	11	3	356	2562	0	0	10022	996
PSMA5	11	-4	356	239	1	1	6625	-919
PTPN11	11	-11	356	-191	45	6	425	108
RBM3	11	3	356	2562	1	-1	6708	3100
RPS3A	11	-5	356	126	0	0	9240	1429
RPS7	11	-7	356	-36	0	0	9379	1328
CCL20	11	5	356	5486	27	16	678	-292
CX3CL1	11	3	356	2562	25	16	746	-445
CXCL12	11	-7	356	-36	61	27	299	-64
SLC1A5	11	-3	356	376	2	0	5430	1510
SOD2	11	-4	356	239	51	34	380	-298
ZEB1	11	-5	356	126	19	15	954	-1208
TJP1	11	-1	356	728	30	12	627	-23
TKT	11	-6	356	30	0	0
TRAF2	11	-3	356	376	12	8	1473	-845
UBE2D1	11	0	356	994	1	0	7036	1564
UCHL1	11	-8	356	-78	13	10	1339	-1249
VCL	11	-1	356	728	37	25	522	-382
VWF	11	-6	356	30	275	43	30	0
XPO1	11	-9	356	-123	13	4	1398	165
DEK	11	-2	356	540	1	-3	7341	4951
SHOC2	11	3	356	2562	8	5	2036	-820
FGF23	11	-6	356	30	87	34	204	-35
SLC7A5	11	-6	356	30	2	1	5227	-48
H3C1	11	-1	356	728	1	1	7130	-1556
H4C1	11	-5	356	126	4	4	3539	-5188
APOL1	11	-2	356	540	28	18	671	-461
BECN1	11	-4	356	239	31	21	606	-482
RAB11A	11	0	356	994	7	4	2346	-657
NRP2	11	1	356	1347	6	1	2628	616
TRPA1	11	-2	356	540	56	4	338	95
MTA1	11	-11	356	-191	6	3	2581	-283
DDX21	11	-7	356	-36	6	3	2580	-281
APOBEC3B	11	2	356	1859	3	3	4191	-4011
PRDX6	11	-4	356	239	5	4	2930	-2397
NCOR1	11	-5	356	126	5	1	3149	635
BCLAF1	11	-4	356	239	2	2	5266	-3010
EIF4A3	11	-6	356	30	2	1	5271	-99
THRAP3	11	-4	356	239	0	0	10175	929
HDAC5	11	2	356	1859	4	4	3593	-5633
HUWE1	11	-7	356	-36	7	1	2326	598
LRPPRC	11	-8	356	-78	2	2	5598	-3853
G3BP1	11	-11	356	-191	8	0	2090	724
TUBA1B	11	-4	356	239	5	1	2922	595
RBM14	11	-10	356	-166	1	1	7227	-1673
CCT4	11	-9	356	-123	1	0	7103	1572
CCT2	11	-7	356	-36	5	3	2965	-914
RBCK1	11	3	356	2562	1	1	7261	-1719
POSTN	11	3	356	2562	34	28	560	-1153
KHDRBS1	11	-9	356	-123	0	-2	10011	6067
MASP2	11	6	356	8520	6	2	2447	278
MTHFD2	11	2	356	1859	8	8	2094	-7638
HSPH1	11	-9	356	-123	2	2	5676	-4077
RUVBL2	11	-8	356	-78	0	0	10494	765
MALT1	11	0	356	994	14	7	1309	-225
EHMT2	11	-1	356	728	14	9	1300	-677
FERMT2	11	1	356	1347	0	-1	10163	4378
GCN1	11	0	356	994	0	0	10169	929
WDR5	11	-3	356	376	7	4	2351	-673
ADAMTS13	11	-5	356	126	114	11	150	33
PUF60	11	-2	356	540	3	2	4518	-1641
RALY	11	-1	356	728	5	3	3046	-1082
SIRT2	11	0	356	994	16	9	1157	-380
BICD2	11	6	356	8520	2	2	5397	-3331
SIRT3	11	-3	356	376	21	8	891	3
SF3B3	11	-1	356	728	0	-1	10050	4336
SLC39A14	11	5	356	5486	0	0
SRRM2	11	-7	356	-36	0	0	9932	1040
SAMHD1	11	-5	356	126	15	12	1174	-1388
PRPF31	11	-2	356	540	2	2	5051	-2561
IL37	11	-2	356	540	2	1	5795	-320
FOXP3	11	-10	356	-166	95	48	183	-84
LARS1	11	-2	356	540	2	-2	5764	3333
TRIM33	11	-3	356	376	5	4	3079	-3069
ERAP1	11	2	356	1859	5	1	3089	640
TET2	11	-14	356	-249	24	16	785	-587
ALKBH5	11	-9	356	-123	3	3	4536	-5982
TUG1	11	-6	356	30	0	0	10502	761
PBRM1	11	-4	356	239	11	10	1617	-4425
BIRC6	11	3	356	2562	3	3	4505	-5755
MAVS	11	-2	356	540	21	4	893	193
METTL14	11	-12	356	-212	2	-3	5948	3881
TUBB6	11	-3	356	376	0	0
IL1F10	11	3	356	2562	1	1	8145	-3030
TUBA1C	11	-9	356	-123	5	2	3110	-42
YTHDC1	11	2	356	1859	2	2	5943	-5028
CCDC137	11	5	356	5486	1	1	8553	-3898
MIR122	11	-5	356	126	0	0
MIR148A	11	-3	356	376	0	0	12546	34
MIR195	11	-7	356	-36	0	0	12579	30
MIR218-1	11	2	356	1859	0	0
MIR34A	11	-7	356	-36	5	2	3144	-73
AARS1	10	-1	521	829	0	0
ABL1	10	-1	521	829	101	48	172	-64
AGER	10	-2	521	563	42	21	467	-109
AGT	10	0	521	1182	252	50	43	5
APEX1	10	-4	521	211	7	1	2188	569
AQP5	10	4	521	5321	0	0	8884	1675
ATOX1	10	5	521	8355	5	4	2783	-1971
BCL2	10	-9	521	-243	236	82	53	-14
CACNA1C	10	-4	521	211	20	-9	915	482
CALR	10	-6	521	-39	48	19	402	-28
CCT6A	10	-6	521	-39	0	0	8799	1744
CD36	10	-4	521	211	111	61	156	-98
CDK9	10	-1	521	829	6	4	2554	-1153
CEBPB	10	0	521	1182	23	12	807	-178
CHD2	10	3	521	3481	7	7	2166	-4937
CIRBP	10	-4	521	211	6	5	2444	-2231
CLIC1	10	-2	521	563	3	2	3892	-782
SLC25A10	10	0	521	1182	2	-1	4794	2237
CSTB	10	2	521	2397	5	3	2764	-598
CTNNA1	10	1	521	1694	4	2	3220	-147
CYP2D6	10	0	521	1182	337	21	21	5
CYP3A4	10	2	521	2397	455	68	11	2
DARS1	10	-8	521	-201	1	1	6478	-797
NQO1	10	3	521	3481	11	2	1544	372
DMD	10	1	521	1694	123	17	139	26
DNM2	10	-5	521	74	3	0	3967	1296
EEF1B2	10	2	521	2397	0	0	9329	1390
EIF2S1	10	-5	521	74	13	5	1344	64
EIF4E	10	-3	521	375	36	7	538	106
EIF5A	10	-1	521	829	7	4	2184	-445
EP300	10	-11	521	-331	36	20	540	-185
ERCC2	10	2	521	2397	17	14	1041	-1493
FEN1	10	-5	521	74	17	7	1057	-21
FLNA	10	-11	521	-331	5	-5	2823	1728
G6PD	10	-16	521	-431	185	31	85	17
GSTT1	10	-3	521	375	5	1	2811	604
GTF2I	10	-8	521	-201	4	4	3279	-4071
HTT	10	-4	521	211	74	31	246	-41
HLA-A	10	-7	521	-135	85	53	209	-179
HLA-B	10	-1	521	829	53	20	369	-11
HLA-DQB1	10	1	521	1694	14	9	1287	-638
NR4A1	10	3	521	3481	29	14	636	-125
FOXA2	10	1	521	1694	12	5	1424	18
HNF4A	10	-2	521	563	13	6	1375	-110
HNRNPL	10	-9	521	-243	5	5	2884	-4973
HES1	10	4	521	5321	18	13	1011	-873
HSP90AB1	10	-14	521	-398	5	4	2838	-2156
IKBKB	10	2	521	2397	22	3	858	242
IL4	10	-11	521	-331	155	73	100	-40
IL7R	10	1	521	1694	12	7	1457	-444
INSR	10	1	521	1694	171	72	90	-29
IRF3	10	-4	521	211	32	22	588	-531
ITGB1	10	-3	521	375	39	25	494	-317
KIT	10	3	521	3481	111	54	154	-63
KRT5	10	-1	521	829	17	7	1070	-32
KRT14	10	1	521	1694	9	5	1789	-364
KRT17	10	-3	521	375	7	-6	2156	1294
