title	gene_symbol.value
ARPC1A	ARPC1A
Aldo-keto_reductase_family_1,_member_A1	AKR1A1
Myc	MYC
HSPA1B	HSPA1B
MCEF	AFF4
ACTR2	ACTR2
Fumarylacetoacetate_hydrolase	FAH
BCR_(gene)	BCR
Myeloperoxidase	MPO
Glucose-6-phosphate_exchanger_SLC37A4	SLC37A4
Scleraxis	SCX
TIE1	TIE1
TGM5	TGM5
Glutamate-rich_protein_4	ERICH4
ST2_cardiac_biomarker	IL1RL1
Integrin_alpha_6	ITGA6
IL2RA	IL2RA
Junction-mediating_and_regulatory_protein	JMY
Stromelysin_2	MMP10
MATR3	MATR3
ULK2	ULK2
USP26	USP26
PAK2	PAK2
MYH9	MYH9
NCR2	NCR2
Myoglobin	MB
Thrombin	F2
Haptoglobin	HP
Factor_V	F5
Klotho_(biology)	KL
Androgen_receptor	AR
Thyroglobulin	TG
Phospholamban	PLN
Rhodopsin	RHO
Transferrin	TF
Factor_X	F10
Factor_VIII	F8
Bcl-2-associated_death_promoter	BAD
Factor_IX	F9
Cystathionine_beta_synthase	CBS
Gastric_inhibitory_polypeptide	GIP
Neurogranin	NRGN
C-jun	JUN
Bloom_syndrome_protein	BLM
Urocortin	UCN
Glucocerebrosidase	GBA
Complement_component_5	C5
Peptide_YY	PYY
Microphthalmia-associated_transcription_factor	MITF
Uroporphyrinogen_III_decarboxylase	UROD
TLR2	TLR2
Vimentin	VIM
Osteopontin	SPP1
Neprilysin	MME
Perilipin-1	PLIN1
Thioredoxin	TXN
P21	CDKN1A
TRAIL	TNFSF10
Arylsulfatase_A	ARSA
LDL_receptor	LDLR
Adenylosuccinate_lyase	ADSL
Lipoprotein_lipase	LPL
CXCR3	CXCR3
Prostacyclin_synthase	PTGIS
HERG	KCNH2
Glial_fibrillary_acidic_protein	GFAP
Calnexin	CANX
Hepatic_lipase	LIPC
CA-125	MUC16
Insulin-degrading_enzyme	IDE
Guanylate_cyclase_2C	GUCY2C
ALDH2	ALDH2
Huntingtin	HTT
Methionine_synthase	MTR
Proprotein_convertase_1	PCSK1
Fumarase	FH
Zinc_metalloproteinase_STE24	ZMPSTE24
Lysosomal_lipase	LIPA
Filaggrin	FLG
C-Fos	FOS
ST13	ST13
Plasmin	PLG
Urokinase	PLAU
Angiotensin	AGT
ASPM_(gene)	ASPM
ABCC11	ABCC11
Vasopressin	AVP
Caspase_4	CASP4
Caveolin_2	CAV2
Collagen,_type_VI,_alpha_1	COL6A1
HBD	HBD
Mesoderm-specific_transcript_homolog_protein	MEST
Gastrin	GAST
Lactase	LCT
Interleukin_2	IL2
TAC1	TAC1
SURF2	SURF2
TAS1R3	TAS1R3
Melanocortin_1_receptor	MC1R
LCORL	LCORL
Thrombopoietin	THPO
Ceruloplasmin	CP
Fibronectin	FN1
KIT_(gene)	KIT
Basigin	BSG
TAS1R2	TAS1R2
C-Met	MET
CCL16	CCL16
Pregnancy-associated_plasma_protein_A	PAPPA
VGF	VGF
CCR2	CCR2
Platelet_factor_4	PF4
UDP-glucose_6-dehydrogenase	UGDH
CD28	CD28
Dermcidin	DCD
Tripartite_motif_containing_38	TRIM38
TYRP1	TYRP1
TMEM125	TMEM125
SSX2	SSX2B
Complement_component_9	C9
Brain-specific_homeobox	BSX
ADAR	ADAR
Glycoprotein_hormones,_alpha_polypeptide	CGA
RET_proto-oncogene	RET
Lanosterol_synthase	LSS
Dopachrome_tautomerase	DCT
KiSS1-derived_peptide_receptor	KISS1R
NEDD8	NEDD8
MTHFD1	MTHFD1
Neurocalcin	NCALD
CEFIP	C10orf71
CCL25	CCL25
CD83	CD83
Emopamil_binding_protein	EBP
Neuromedin_B	NMB
Bactericidal/permeability-increasing_protein	BPI
Sepiapterin_reductase	SPR
Oncostatin_M	OSM
H1FNT	H1-7
Adrenal_ferredoxin	FDX1
Fas_receptor	FAS
ATM_serine/threonine_kinase	ATM
Aryl_hydrocarbon_receptor	AHR
Parathyroid_hormone	PTH
Adrenomedullin	ADM
Testis-determining_factor	SRY
PSG1_(gene)	PSG1
RAC3	RAC3
RENBP	RENBP
Retinoblastoma-like_protein_1	RBL1
Erythropoietin	EPO
Adiponectin	ADIPOQ
Ferrochelatase	FECH
Prostate-specific_antigen	KLK3
Proopiomelanocortin	POMC
HMG-CoA_reductase	HMGCR
CXCR4	CXCR4
Transcortin	SERPINA6
Dipeptidyl_peptidase-4	DPP4
Resistin	RETN
Cystic_fibrosis_transmembrane_conductance_regulator	CFTR
Ornithine_transcarbamylase	OTC
Cholesteryl_ester_transfer_protein	CETP
Glyceraldehyde_3-phosphate_dehydrogenase	GAPDH
Bruton's_tyrosine_kinase	BTK
CD19	CD19
FCGR1A	FCGR1A
Collagen,_type_IV,_alpha_6	COL4A6
CYP24A1	CYP24A1
F13B	F13B
Collagen,_type_IV,_alpha_4	COL4A4
Collagen,_type_IX,_alpha_3	COL9A3
HLA-G	HLA-G
CXCL3	CXCL3
B-cell_linker	BLNK
Cannabinoid_receptor_type_1	CNR1
E-selectin	SELE
FOXP3	FOXP3
CD4	CD4
Proteinase_3	PRTN3
Integrin_beta_2	ITGB2
ICAM-1	ICAM1
Integrin_alpha_L	ITGAL
Integrin_alpha_M	ITGAM
Prolyl_endopeptidase	PREP
Titin	TTN
Renin	REN
Follistatin	FST
Neuropeptide_Y	NPY
GGPS1	GGPS1
Hemoglobin_subunit_zeta	HBZ
Gephyrin	GPHN
Zinc_finger_protein_839	ZNF839
Polycystin_2	PKD2
PNMA2	PNMA2
CCL11	CCL11
CXCL1	CXCL1
CXCL11	CXCL11
Peptidoglycan_recognition_protein_3	PGLYRP3
Mannosyltransferase	PIGZ
Fibroblast_activation_protein,_alpha	FAP
P22phox	CYBA
SAG_(gene)	SAG
CD33	CD33
Collagen,_type_XVI,_alpha_1	COL16A1
DBT_(gene)	DBT
Tumor_necrosis_factor	TNF
Phenylalanine_hydroxylase	PAH
Glucokinase	GCK
Vitamin_D_receptor	VDR
Cholecystokinin	CCK
Interleukin_8_receptor,_beta	CXCR2
CXCL6	CXCL6
Cubilin	CUBN
Prolactin-induced_protein	PIP
Wiskott–Aldrich_syndrome_protein	WAS
Glutathione_reductase	GSR
CD63	CD63
Transthyretin	TTR
CD69	CD69
CD82_(gene)	CD82
Parvulin_17	PIN4
PRAME	PRAME
Leptin	LEP
Sigma-1_receptor	SIGMAR1
B-cell_activating_factor	TNFSF13B
Dystrophin	DMD
Tissue_plasminogen_activator	PLAT
Merlin_(protein)	NF2
CD14	CD14
Alpha-fetoprotein	AFP
Dopamine_beta-hydroxylase	DBH
Angiotensin-converting_enzyme	ACE
FGF18	FGF18
FYN	FYN
Cytoglobin	CYGB
USH1C	USH1C
Deoxyhypusine_synthase	DHPS
Mfsd14b	MFSD14B
Acetylcholinesterase	ACHE
Translocator_protein	TSPO
CYP2C19	CYP2C19
Dihydrolipoyl_transacetylase	DLAT
RANKL	TNFSF11
Osteonectin	SPARC
C-reactive_protein	CRP
Cortistatin_(neuropeptide)	CORT
Cyclin-dependent_kinase_1	CDK1
GTP_cyclohydrolase_I	GCH1
Aggrecan	ACAN
Arylsulfatase_B	ARSB
CD74	CD74
Vitronectin	VTN
Cl-formate_exchanger	SLC26A4
Nuclear_receptor_4A1	NR4A1
SYNPO	SYNPO
CD46	CD46
Thymidylate_synthase	TYMS
CD59	CD59
Squalene_monooxygenase	SQLE
MTOR	MTOR
Somatostatin	SST
Alanine_transaminase	GPT
Nerve_growth_factor	NGF
Collagen,_type_XXVIII,_alpha_1	COL28A1
C20orf202	C20orf202
Inosine_monophosphate_synthase	ATIC
Elafin	PI3
CD9	CD9
Integrin_alpha_V	ITGAV
Growth_hormone_receptor	GHR
CD72	CD72
Emerin	EMD
Myelin_oligodendrocyte_glycoprotein	MOG
BRCA2	BRCA2
Granulocyte-macrophage_colony-stimulating_factor	CSF2
Tetherin	BST2
Collagen,_type_VI,_alpha_3	COL6A3
Collagen,_type_IX,_alpha_2	COL9A2
DLG4	DLG4
DLX1	DLX1
DEFA5	DEFA5
CD52	CD52
CD68	CD68
CD6	CD6
CCR3_(gene)	CCR3
CD81	CD81
CEACAM8	CEACAM8
CEACAM1	CEACAM1
Thiopurine_methyltransferase	TPMT
7-Dehydrocholesterol_reductase	DHCR7
Histamine_H2_receptor	HRH2
Plasminogen_activator_inhibitor-1	SERPINE1
Mothers_against_decapentaplegic_homolog_4	SMAD4
Sex_hormone-binding_globulin	SHBG
Homeobox_protein_NANOG	NANOG
Cholesterol_side-chain_cleavage_enzyme	CYP11A1
Histidine_decarboxylase	HDC
Galactosylceramidase	GALC
Brain-derived_neurotrophic_factor	BDNF
P53	TP53
Gonadotropin-releasing_hormone	GNRH1
FANCM	FANCM
GPX4	GPX4
GRIA1	GRIA1
GM2A	GM2A
Endothelial_lipase	LIPG
Stem_cell_factor	KITLG
CXCL10	CXCL10
CXCR5	CXCR5
Hemoglobin,_alpha_2	HBA1
CCL21	CCL21
Myelin_proteolipid_protein	PLP1
TRPV1	TRPV1
Trifunctional_purine_biosynthetic_protein_adenosine-3	GART
ERCC2	ERCC2
Guanidinoacetate_N-methyltransferase	GAMT
Endothelial_NOS	NOS3
Transcription_factor_II_B	GTF2B
ABCG1	ABCG1
Mitochondrial_2-oxoglutarate/malate_carrier_protein	SLC25A11
SLC22A14	SLC22A14
Tyrosine_aminotransferase	TAT
Collagen,_type_XXI,_alpha_1	COL21A1
Collagen,_type_XIX,_alpha_1	COL19A1
Metabotropic_glutamate_receptor_4	GRM4
Alanine_aminopeptidase	ANPEP
NPC1L1	NPC1L1
Heparanase	HPSE
Dihydrofolate_reductase	DHFR
CYP3A4	CYP3A4
Amylin	IAPP
Complement_receptor_1	CR1
Dystroglycan	DAG1
CD44	CD44
Beta-catenin	CTNNB1
Hepatocyte_growth_factor	HGF
Tyrosine-protein_kinase_SYK	SYK
O-6-methylguanine-DNA_methyltransferase	MGMT
Complement_receptor_2	CR2
Macrophage_colony-stimulating_factor	CSF1
Collagen,_type_III,_alpha_1	COL3A1
SLC22A12	SLC22A12
CD70	CD70
Collagen,_type_IV,_alpha_1	COL4A1
Collagen,_type_XIII,_alpha_1	COL13A1
Collagen,_type_X,_alpha_1	COL10A1
HSH2D	HSH2D
Fidgetin-like_2	FIGNL2
ICAM4	ICAM4
MMP3	MMP3
Collagen,_type_XXIII,_alpha_1	COL23A1
CORIN	CORIN
NSD1	NSD1
Neuroglobin	NGB
CCL8	CCL8
CD37	CD37
Podocin	NPHS2
WNT16	WNT16
ZFP92	ZFP92
Dentin_sialophosphoprotein_(protein)	DSPP
EHHADH	EHHADH
Neonatal_Fc_receptor	FCGRT
FOXO3	FOXO3
CYP2R1	CYP2R1
Phospholipase_A1	PLA1A
ISCU	ISCU
KLK4	KLK4
SCARB1	SCARB1
FUT4	FUT4
Interleukin_8_receptor,_alpha	CXCR1
FABP6	FABP6
Augurin	ECRG4
POMT1	POMT1
Perilipin-5	PLIN5
Pejvakin	PJVK
POMGNT1	POMGNT1
GDP-fucose_protein_O-fucosyltransferase_2	POFUT2
Interferon-gamma_receptor	IFNGR1
SMIM15	SMIM15
CACNA2D4	CACNA2D4
CNPY2	CNPY2
Phenylethanolamine_N-methyltransferase	PNMT
Myophosphorylase	PYGM
Phosphate_carrier_protein,_mitochondrial	SLC25A3
OPN1MW2	OPN1MW
PDE9	PDE9A
PFKL	PFKL
MuSK_protein	MUSK
Lingual_lipase	LIPF
NODAL	NODAL
GJB3	GJB3
HK3	HK3
HNF1B	HNF1B
OGDH	OGDH
Microsomal_triglyceride_transfer_protein	MTTP
Peptidoglycan_recognition_protein_4	PGLYRP4
Collagen,_type_XI,_alpha_1	COL11A1
Agouti-signaling_protein	ASIP
21-Hydroxylase	CYP21A2
SPINK6	SPINK6
TKTL1	TKTL1
Thymosin_beta-4	TMSB4X
CXCL5	CXCL5
Langerin	CD207
Myelin_basic_protein	MBP
Agrin	AGRN
RANBP3L	RANBP3L
Alpha-synuclein	SNCA
HER2/neu	ERBB2
CXCL9	CXCL9
Porphobilinogen_deaminase	HMBS
Apolipoprotein_E	APOE
Wilson_disease_protein	ATP7B
Vinculin	VCL
Proprotein_convertase_subtilisin/kexin_type_1_inhibitor	PCSK1N
Glucagon	GCG
Neurofibromin_1	NF1
CD24	CD24
CD34	CD34
CD36	CD36
CD23	FCER2
C5a_receptor	C5AR1
Survivin	BIRC5
Interleukin_21	IL21
MCM6	MCM6
L1_(protein)	L1CAM
Gamma-glutamyl_carboxylase	GGCX
CTLA-4	CTLA4
HFE_(gene)	HFE
P-selectin	SELP
Integrin_beta_3	ITGB3
LMNA	LMNA
Desert_hedgehog_protein	DHH
LRP1	LRP1
Membrane-bound_transcription_factor_site-1_protease	MBTPS1
Ribosome_recycling_factor	MRRF
Stomatin	STOM
Reelin	RELN
Retinoblastoma_protein	RB1
Translocated_promoter_region	TPR
Delta-sarcoglycan	SGCD
Decay-accelerating_factor	CD55
BRIP1	BRIP1
BRD9	BRD9
ANKRD35	ANKRD35
ARPC1B	ARPC1B
Alpha-2-Macroglobulin	A2M
CD48	CD48
SAR1A	SAR1A
NK2_homeobox_1	NKX2-1
Bank1	BANK1
Aldolase_B	ALDOB
Cannabinoid_receptor_type_2	CNR2
Proglucagon	GCG
PTGS1	PTGS1
Urotensin_II–related_peptide	UTS2B
MGAT4B	MGAT4B
GLYCAM1	GLYCAM1
GLIS2	GLIS2
GOLGA8H	GOLGA8H
E3_ubiquitin_ligase_HERC2	HERC2
Glycogen_branching_enzyme	GBE1
Stromal_cell-derived_factor_1	CXCL12
Epithelial_cell_adhesion_molecule	EPCAM
Ectonucleotide_pyrophosphatase/phosphodiesterase_1	ENPP1
DIRAS3_(gene)	DIRAS3
CXCL2	CXCL2
CCL15	CCL15
DGAT1	DGAT1
FADS2	FADS2
Sulfite_oxidase	SUOX
Thromboxane_receptor	TBXA2R
Twist-related_protein_1	TWIST1
Collagen,_type_V,_alpha_1	COL5A1
Prostaglandin_D2_receptor	PTGDR
Nephrin	NPHS1
Nicastrin	NCSTN
ARG1_(gene)	ARG1
L-selectin	SELL
SSX2	SSX2
Peptide_transporter_1	SLC15A1
GABA_transporter_type_3	SLC6A11
TAS1R1	TAS1R1
C-C_chemokine_receptor_type_6	CCR6
Collagen,_type_IV,_alpha_3	COL4A3
DLX3	DLX3
CD58	CD58
ATP2A2	ATP2A2
CEACAM5	CEACAM5
Star_related_lipid_transfer_domain_containing_3	STARD3
SPG11	SPG11
Metabotropic_glutamate_receptor_2	GRM2
HBQ1	HBQ1
HBG1	HBG1
HBG2	HBG2
Interleukin_1_receptor,_type_I	IL1R1
GMP_synthase	GMPS
ICAM3	ICAM3
MAGEA3	MAGEA3
IDH2	IDH2
HK2	HK2
MFAP4	MFAP4
HMGB1	HMGB1
HDAC4	HDAC4
Hephaestin	HEPH
Telethonin	TCAP
Butyrylcholinesterase	BCHE
WASF1	WASF1
TOX2	TOX2
Trans-Golgi_network_vesicle_protein_23_A	TVP23A
TFAP2D	TFAP2D
TOX3	TOX3
Transmembrane_protein_217	TMEM217
P87PIKAP	PIK3R6
GLUT8	SLC2A8
SLC23A1	SLC23A1
N-acetylglucosamine-1-phosphate_transferase	GNPTAB
Geminin_coiled-coil_domain-containing_protein_1	GMNC
Hilpda	HILPDA
GSTO1	GSTO1
Drosha	DROSHA
CXCL14	CXCL14
Enamelin	ENAM
CCL3	CCL3
Autoimmune_regulator	AIRE
CD80	CD80
Acetylserotonin_O-methyltransferase	ASMT
5-HT1A_receptor	HTR1A
RIG-I	DDX58
Iduronidase	IDUA
Dopamine_receptor_D3	DRD3
CD27	CD27
PCSK9	PCSK9
Hemoglobin_subunit_beta	HBB
CD84	CD84
C19orf44	C19orf44
Transmembrane_protein_151b	TMEM151B
Metabotropic_glutamate_receptor_5	GRM5
Metabotropic_glutamate_receptor_6	GRM6
Folylpolyglutamate_synthase	FPGS
Dimethylallyltranstransferase	FDPS
CCL14	CCL14
NPHP1	NPHP1
Melanocortin_3_receptor	MC3R
Limbic_system-associated_membrane_protein	LSAMP
Serum_response_factor	SRF
Tumor_necrosis_factor_receptor_1	TNFRSF1A
Monocarboxylate_transporter_1	SLC16A1
Folate_transporter_1	SLC19A1
Transferrin_receptor_2	TFR2
ACTR3	ACTR3
FAM180b	FAM180B
GMPPB	GMPPB
LENG9	LENG9
LIN28	LIN28A
C14orf119	C14orf119
AHSA2	AHSA2P
Elabela	APELA
Sec61_alpha_1	SEC61A1
SEC61B	SEC61B
Phospholipid_transfer_protein	PLTP
Mitochondrial_amidoxime_reducing_component_1	MTARC1
MTUS1	MTUS1
11β-Hydroxysteroid_dehydrogenase_type_1	HSD11B1
Duffy_antigen_system	ACKR1
FOXP2	FOXP2
Calcitonin	CALCA
Histamine_H1_receptor	HRH1
OPN1MW2	OPN1MW2
PAK4	PAK4
Otoancorin	OTOA
P16	CDKN2A
Elastin	ELN
Thyroxine-binding_globulin	SERPINA7
Interleukin_6	IL6
Hemopexin	HPX
Terminal_deoxynucleotidyl_transferase	DNTT
Interleukin_8	CXCL8
ABL_(gene)	ABL1
P14arf	CDKN2A
Collagen,_type_IX,_alpha_1	COL9A1
Collagen,_type_XII,_alpha_1	COL12A1
Down_syndrome_cell_adhesion_molecule_like_1	DSCAML1
Fatty_acid_amide_hydrolase	FAAH
Serine/threonine_kinase_35	STK35
CYP2D6	CYP2D6
Proton-coupled_folate_transporter	SLC46A1
Sodium-dependent_multivitamin_transporter	SLC5A6
Hect_domain_and_ankyrin_repeat_containing_e3_ubiquitin_protein_ligase_1	HACE1
FNDC5	FNDC5
GADL1	GADL1
ANLN	ANLN
EMID2	COL26A1
ClpX	CLPX
Collagen,_type_XXV,_alpha_1	COL25A1
Mincle_receptor	CLEC4E
C13orf38	CCDC169-SOHLH2
CD93	CD93
C-c_motif_chemokine_ligand_27	CCL27
FDX2	FDX2
FAM71E1	FAM71E1
Zbtb7	ZBTB7A
Neurturin	NRTN
PAK3	PAK3
MMP20	MMP20
Raf_kinase_inhibitor_protein	PEBP1
PLK1	PLK1
Oct-2	POU2F2
KIF1B	KIF1B
TCIRG1	TCIRG1
C13orf38	SOHLH2
Solute_carrier_organic_anion_transporter_family_member_4c1	SLCO4C1
TIGIT	TIGIT
Transmembrane_protein_151A	TMEM151A
Beta-defensin_2	DEFB4A
FCGR3B	FCGR3B
FCAR	FCAR
FCGR2B	FCGR2B
Collagen,_type_IV,_alpha_5	COL4A5
DLX5	DLX5
CD79B	CD79B
CSN1S1	CSN1S1
CREB1	CREB1
FOXA2	FOXA2
GIT1	GIT1
GRIA2	GRIA2
Granulysin	GNLY
Selective_factor_1	TAF1A
TNFSF9	TNFSF9
Renalase	RNLS
Tryptophan_2,3-dioxygenase	TDO2
NeuN	RBFOX3
C7orf50	C7orf50
C2CD4D	C2CD4D
HBE1	HBE1
Integrin_alpha_2b	ITGA2B
Transmembrane_protein_255A	TMEM255A
MX1	MX1
Melanocortin_4_receptor	MC4R
OAS1	OAS1
PFKM	PFKM
PDGFA	PDGFA
Programmed_cell_death_protein_1	PDCD1
Collectin-10	COLEC10
CKLF_like_MARVEL_transmembrane_domain_containing_7	CMTM7
CCDC166	CCDC166
Keratin_6B	KRT6B
Channel-inducing_factor_4	FXYD4
FXYD6	FXYD6
WASF3	WASF3
TRIM50	TRIM50
XRN1_(gene)	XRN1
SMURF2	SMURF2
SERPIN_A12	SERPINA12
BEX4	BEX4
CD7	CD7
ATF4	ATF4
CD47	CD47
CD1A	CD1A
Cellular_Inhibitor_of_Apoptosis_Protein_1	BIRC2
LRRK2	LRRK2
Prostatic_acid_phosphatase	ACP3
SCP2	SCP2
SLAM-associated_protein	SH2D1A
NMNAT3	NMNAT3
NCR3	NCR3
HAMP	HAMP
CYP17A1	CYP17A1
Kynureninase	KYNU
Mannan-binding_lectin	MBL2
Cathepsin_A	CTSA
Beta-secretase_1	BACE1
Thymopoietin	TMPO
FMR1	FMR1
CREB-binding_protein	CREBBP
CTRB2	CTRB2
SMIM11A	SMIM11B
Prostaglandin-endoperoxide_synthase_2	PTGS2
Short-stature_homeobox_gene	SHOX
TSC2	TSC2
WASF2	WASF2
WDTC1	WDTC1
Vascular_endothelial_growth_factor_A	VEGFA
PAX8	PAX8
Carnitine_palmitoyltransferase_II	CPT2
CYP2C9	CYP2C9
Collagen,_type_I,_alpha_1	COL1A1
HMOX1	HMOX1
Map44	MASP1
PXK	PXK
Glutamate_carboxypeptidase_II	FOLH1
CD1D	CD1D
AMP_deaminase	AMPD1
CCL20	CCL20
CD20	MS4A1
CD90	THY1
CXCL7	PPBP
Indoleamine_2,3-dioxygenase	IDO1
CCL17	CCL17
Perlecan	HSPG2
CD2	CD2
Erythroferrone	ERFE
FAM234A	FAM234A
Dicer	DICER1
24-Dehydrocholesterol_reductase	DHCR24
Caldesmon	CALD1
CXCL13	CXCL13
Calreticulin	CALR
Kisspeptin	KISS1
ROMK	KCNJ1
ACADM	ACADM
Collagen,_type_XXII,_alpha_1	COL22A1
COL24A1	COL24A1
CCL18	CCL18
Coagulation_factor_XIII,_A1_polypeptide	F13A1
BRCA1	BRCA1
PDPN	PDPN
PLA2R1	PLA2R1
Protein_Z	PROZ
PGM2	PGM2
Prostacyclin_receptor	PTGIR
Ki-67_(protein)	MKI67
Oct-4	POU5F1
Serotonin_transporter	SLC6A4
ACTH_receptor	MC2R
CGMP-specific_phosphodiesterase_type_5	PDE5A
Interleukin_1_beta	IL1B
Von_Willebrand_factor	VWF
PTEN_(gene)	PTEN
Plectin	PLEC
Integrin_alpha_4	ITGA4
Vasodilator-stimulated_phosphoprotein	VASP
NOD2	NOD2
Uromodulin	UMOD
Mevalonate_kinase	MVK
Lecithin–cholesterol_acyltransferase	LCAT
CD22	CD22
Collagen,_type_XVII,_alpha_1	COL17A1
Major_basic_protein	PRG2
CCR4	CCR4
Perforin	PRF1
Integrin_alpha_1	ITGA1
Integrin_alpha_2	ITGA2
GRIA3	GRIA3
Lecithin_retinol_acyltransferase	LRAT
RHOXF2	RHOXF2
Actinin_alpha_3	ACTN3
CD79A	CD79A
UPK1A	UPK1A
Steroid_11β-hydroxylase	CYP11B1
Zinc_finger_protein_878	ZNF878
Zinc_finger_protein_674	ZNF674
G_protein-coupled_receptor_kinase_7	GRK7
LEKTI-2	SPINK9
Transmembrane_protein_242	TMEM242
BAFF_receptor	TNFRSF13C
PAK6	BUB1B-PAK6
HK1	HK1
Frataxin	FXN
SCG2	SCG2
S100A7	S100A7
PFKP	PFKP
PAK6	PAK6
PELP-1	PELP1
CLCN5	CLCN5
FCGR3A	FCGR3A
Collagen,_type_VI,_alpha_2	COL6A2
DLX2	DLX2
Collagen,_type_XI,_alpha_2	COL11A2
Mitochondrial_dicarboxylate_carrier	SLC25A10
Collagen,_type_IV,_alpha_2	COL4A2
Collagen,_type_VIII,_alpha_2	COL8A2
CEACAM3	CEACAM3
C-fos-induced_growth_factor	VEGFD
FGF5	FGF5
Myelin_regulatory_factor	MYRF
CKMT1A	CKMT1B
CSF2RB	CSF2RB
CXCL16	CXCL16
METRNL	METRNL
MYOT	MYOT
ROCK1	ROCK1
ANGPTL8	ANGPTL8
CEACAM6	CEACAM6
ARHGEF2	ARHGEF2
Ataxin-2	ATXN2
Interleukin-3_receptor	IL3RA
HSP90AA2	HSP90AA2P
NKG2	KLRC1
MAGEA1	MAGEA1
Microtubule-associated_protein_2	MAP2
LRP2	LRP2
5-HT1B_receptor	HTR1B
Enolase_2	ENO2
Human_placental_lactogen	CSH1
Carboxypeptidase_B2	CPB2
HAX1	HAX1
Fat_storage-inducing_transmembrane_protein_2	FITM2
C3orf14	C3orf14
CCL28	CCL28
CCL26	CCL26
Beta-carotene_15,15'-dioxygenase	BCO1
CCDC198	CCDC198
