tpage_name	gene_symbol
Proto-oncogene_tyrosine-protein_kinase_Src	SRC
MAPK14	MAPK14
CCL2	CCL2
mTOR	MTOR
TLR2	TLR2
Fas_receptor	FAS
RELA	RELA
Integrin_beta_1	ITGB1
Caspase_3	CASP3
ICAM-1	ICAM1
Interleukin_4	IL4
XRCC1	XRCC1
c-jun	JUN
ATM_serine/threonine_kinase	ATM
Dopamine_receptor_D2	DRD2
Retinoblastoma_protein	RB1
Integrin_beta_3	ITGB3
Stromal_cell-derived_factor_1	CXCL12
Survivin	BIRC5
Angiotensin	AGT
CYP1A1	CYP1A1
Estrogen_receptor_beta	ESR2
PON1	PON1
Interleukin_1_receptor_antagonist	IL1RN
SOD1	SOD1
CTLA-4	CTLA4
Beta-2_adrenergic_receptor	ADRB2
Sp1_transcription_factor	SP1
CYP2D6	CYP2D6
EP300	EP300
GSK3B	GSK3B
HLA-C	HLA-C
P110α	PIK3CA
Glucocorticoid_receptor	NR3C1
HFE_(gene)	HFE
HDAC1	HDAC1
IL1A	IL1A
Bcl-2-associated_X_protein	BAX
RAC1	RAC1
KIT_(gene)	KIT
CDKN1B	CDKN1B
MLH1	MLH1
CD44	CD44
MAPK8	MAPK8
Angiotensin_II_receptor_type_1	AGTR1
NOD2	NOD2
Heat_shock_protein_90kDa_alpha_(cytosolic),_member_A1	HSP90AA1
Notch_1	NOTCH1
Interleukin_18	IL18
CYP2C9	CYP2C9
Apolipoprotein_A1	APOA1
MMP1	MMP1
Major_histocompatibility_complex,_class_II,_DQ_alpha_1	HLA-DQA1
Ventricular_natriuretic_peptide	NPPB
CYP2C19	CYP2C19
HMOX1	HMOX1
PARP1	PARP1
Insulin-like_growth_factor_1_receptor	IGF1R
PRKCA	PRKCA
Von_Willebrand_factor	VWF
Transforming_protein_RhoA	RHOA
ERCC2	ERCC2
Ghrelin	GHRL
Osteopontin	SPP1
C-Met	MET
Interleukin_2	IL2
Caspase_8	CASP8
CREB-binding_protein	CREBBP
RET_proto-oncogene	RET
Kinase_insert_domain_receptor	KDR
IL17A	IL17A
GRB2	GRB2
ABL_(gene)	ABL1
Adenomatous_polyposis_coli	APC
Caveolin_1	CAV1
Insulin	INS
MSH2	MSH2
PRNP	PRNP
Dopamine_transporter	SLC6A3
CYP3A4	CYP3A4
Endothelin_1	EDN1
Nitric_oxide_synthase_2_(inducible)	NOS2
Apolipoprotein_B	APOB
SOD2	SOD2
Hemoglobin_subunit_beta	HBB
Cyclin-dependent_kinase_1	CDK1
TRAIL	TNFSF10
Mannan-binding_lectin	MBL2
PTK2	PTK2
STAT1	STAT1
LDL_receptor	LDLR
GJB2	GJB2
Aromatase	CYP19A1
Factor_H	CFH
Lipoprotein_lipase	LPL
SUMO1	SUMO1
FOXP3	FOXP3
HRAS	HRAS
Sirtuin_1	SIRT1
HLA-G	HLA-G
PSEN1	PSEN1
N-acetyltransferase_2	NAT2
Cyclin-dependent_kinase_2	CDK2
LRRK2	LRRK2
5-HT2A_receptor	HTR2A
Proliferating_cell_nuclear_antigen	PCNA
CD14	CD14
Casein_kinase_2,_alpha_1	CSNK2A1
Von_Hippel–Lindau_tumor_suppressor	VHL
NFE2L2	NFE2L2
Basic_fibroblast_growth_factor	FGF2
CBL_(gene)	CBL
Hepatocyte_growth_factor	HGF
NPM1	NPM1
PRKCD	PRKCD
TP63	TP63
Progesterone_receptor	PGR
MMP3	MMP3
ABCA1	ABCA1
Collagen,_type_I,_alpha_1	COL1A1
Dopamine_receptor_D4	DRD4
Fas_ligand	FASLG
CYP2E1	CYP2E1
CCL5	CCL5
Mothers_against_decapentaplegic_homolog_3	SMAD3
E2F1	E2F1
PTPN11	PTPN11
IGFBP3	IGFBP3
RAGE_(receptor)	AGER
BCL2-like_1	BCL2L1
MUC1	MUC1
Parkin_(ligase)	PARK2
LMNA	LMNA
CYP3A5	CYP3A5
Epidermal_growth_factor	EGF
ABCG2	ABCG2
Tumor_necrosis_factor_receptor_1	TNFRSF1A
Cholesteryl_ester_transfer_protein	CETP
HSPA4	HSPA4
Lymphotoxin_alpha	LTA
UDP_glucuronosyltransferase_1_family,_polypeptide_A1	UGT1A1
Mothers_against_decapentaplegic_homolog_4	SMAD4
PIK3R1	PIK3R1
Fibronectin	FN1
Interleukin_13	IL13
Insulin_receptor	INSR
TCF7L2	TCF7L2
Factor_VIII	F8
p73	TP73
VEGFR1	FLT1
Leptin_receptor	LEPR
RUNX1	RUNX1
Insulin-like_growth_factor_2	IGF2
CD40_(protein)	CD40
IκBα	NFKBIA
APOBEC3G	APOBEC3G
HMGB1	HMGB1
PRKACA	PRKACA
TIMP1	TIMP1
CD135	FLT3
ERCC1	ERCC1
FYN	FYN
Thymidylate_synthase	TYMS
Myeloperoxidase	MPO
TLR9	TLR9
Oxoguanine_glycosylase	OGG1
Urokinase	PLAU
Hemoglobin_subunit_alpha	HBA1
O-6-methylguanine-DNA_methyltransferase	MGMT
FTO_gene	FTO
Tissue_factor	F3
Osteoprotegerin	TNFRSF11B
hERG	KCNH2
WT1	WT1
Macrophage_migration_inhibitory_factor	MIF
Huntingtin	HTT
ALDH2	ALDH2
IRS1	IRS1
Ki-67_(protein)	MKI67
NAD(P)H_dehydrogenase_(quinone_1)	NQO1
Histone_deacetylase_2	HDAC2
Integrin_alpha_V	ITGAV
Monoamine_oxidase_A	MAOA
Binding_immunoglobulin_protein	HSPA5
CYP17A1	CYP17A1
HSPA1A	HSPA1A
RAD51	RAD51
CDC42	CDC42
c-Raf	RAF1
CHEK2	CHEK2
CREB1	CREB1
PLK1	PLK1
Promyelocytic_leukemia_protein	PML
MECP2	MECP2
Alpha-1_antitrypsin	SERPINA1
APEX1	APEX1
Aurora_A_kinase	AURKA
DNA-PKcs	PRKDC
Complement_component_3	C3
Peroxisome_proliferator-activated_receptor_alpha	PPARA
TRAF6	TRAF6
Lck	LCK
RANKL	TNFSF11
FMR1	FMR1
CYP1B1	CYP1B1
Fibroblast_growth_factor_receptor_2	FGFR2
VCAM-1	VCAM1
Bone_morphogenetic_protein_2	BMP2
EZH2	EZH2
Nav1.5	SCN5A
MIR21	MIR21
Interleukin-12_subunit_beta	IL12B
Transthyretin	TTR
KvLQT1	KCNQ1
Beta-actin	ACTB
PPARGC1A	PPARGC1A
CCR2	CCR2
TLR3	TLR3
Urokinase_receptor	PLAUR
CD154	CD40LG
HSPA8	HSPA8
PTPN22	PTPN22
MHC_class_I_polypeptide–related_sequence_A	MICA
Mothers_against_decapentaplegic_homolog_2	SMAD2
XIAP	XIAP
Factor_VII	F7
Helsingin_Suomalainen_Yhteiskoulu	SYK
IL2RA	IL2RA
SHC1	SHC1
GNAS_complex_locus	GNAS
PIK3CG	PIK3CG
CTGF	CTGF
Galectin-3	LGALS3
MCL1	MCL1
μ-opioid_receptor	OPRM1
CYP1A2	CYP1A2
IKK2	IKBKB
CXCL10	CXCL10
Integrin_beta_2	ITGB2
POLR2A	POLR2A
CHUK	CHUK
Interleukin-4_receptor	IL4R
Vimentin	VIM
Resistin	RETN
XRCC3	XRCC3
Fibroblast_growth_factor_receptor_3	FGFR3
TAR_DNA-binding_protein_43	TARDBP
TGF_beta_receptor_1	TGFBR1
Cyclin-dependent_kinase_4	CDK4
FCGR2A	FCGR2A
MMP14	MMP14
Hsp27	HSPB1
Thrombospondin_1	THBS1
Growth_hormone_1	GH1
E-selectin	SELE
Ezrin	EZR
GJA1	GJA1
TGF_beta_receptor_2	TGFBR2
GLUT1	SLC2A1
Nibrin	NBN
Valosin-containing_protein	VCP
Hepatocyte_nuclear_factor_4_alpha	HNF4A
Tumor_necrosis_factor_receptor_2	TNFRSF1B
Serum_albumin	ALB
IDH1	IDH1
Oct-4	POU5F1
Ataxia_telangiectasia_and_Rad3_related	ATR
GNB3	GNB3
Basigin	BSG
Dystrophin	DMD
Clusterin	CLU
KMT2A	KMT2A
PDGFRA	PDGFRA
HNF1A	HNF1A
CHEK1	CHEK1
Cyclin-dependent_kinase_9	CDK9
Integrin_alpha_2b	ITGA2B
Integrin_alpha_2	ITGA2
Lipocalin-2	LCN2
Retinoid_X_receptor_alpha	RXRA
YWHAZ	YWHAZ
Aryl_hydrocarbon_receptor	AHR
Cystatin_C	CST3
c-Fos	FOS
Ku70	XRCC6
Cannabinoid_receptor_type_1	CNR1
Neurofibromin_1	NF1
TRAF2	TRAF2
Neuregulin_1	NRG1
APOA5	APOA5
CEBPA	CEBPA
Fibroblast_growth_factor_receptor_1	FGFR1
DNMT1	DNMT1
Methionine_synthase	MTR
IKBKG	IKBKG
CEBPB	CEBPB
DC-SIGN	CD209
BCR_(gene)	BCR
Fibrinogen_beta_chain	FGB
Sequestosome_1	SQSTM1
Peptidylprolyl_isomerase_A	PPIA
Retinoic_acid_receptor_alpha	RARA
SKP2	SKP2
RASSF1	RASSF1
PRKCB	PRKCB
UBE2I	UBE2I
Ku80	XRCC5
Cyclin_B1	CCNB1
EPHX1	EPHX1
Prostate-specific_antigen	KLK3
Caspase-9	CASP9
CD133	PROM1
Actin,_alpha_1	ACTA1
Annexin_A2	ANXA2
Calmodulin_1	CALM1
Cyclin_E1	CCNE1
Sonic_hedgehog	SHH
Anaplastic_lymphoma_kinase	ALK
Calcium-sensing_receptor	CASR
Forkhead_box_protein_O1	FOXO1
HLA-DPB1	HLA-DPB1
MMP7	MMP7
Apolipoprotein_C-III	APOC3
FOXO3	FOXO3
TOP2A	TOP2A
LRP1	LRP1
TATA-binding_protein	TBP
PAK1	PAK1
GroEL	HSPD1
EGR1	EGR1
Endoglin	ENG
RUNX2	RUNX2
Interleukin_15	IL15
LYN	LYN
PDGFRB	PDGFRB
ADAMTS13	ADAMTS13
Interferon_Lambda_3	IFNL3
Programmed_cell_death_protein_1	PDCD1
SMARCA4	SMARCA4
CUL1	CUL1
SOCS3	SOCS3
P-selectin	SELP
TIMP2	TIMP2
Dopamine_receptor_D3	DRD3
FCGR3A	FCGR3A
FLNA	FLNA
Vascular_endothelial_growth_factor_C	VEGFC
Nicotinamide_phosphoribosyltransferase	NAMPT
Beta-1_adrenergic_receptor	ADRB1
PLCG1	PLCG1
MAP2K1	MAP2K1
CDKN2B	CDKN2B
Protein_C	PROC
CD36	CD36
Erythropoietin	EPO
Tissue_plasminogen_activator	PLAT
BCL2L11	BCL2L11
Bone_morphogenetic_protein_4	BMP4
Kir6.2	KCNJ11
Melanocortin_4_receptor	MC4R
UBE2D1	UBE2D1
VKORC1	VKORC1
NOS1	NOS1
EPAS1	EPAS1
Protein_kinase_C_zeta_type	PRKCZ
ADH1B	ADH1B
ANGPT2	ANGPT2
BMI1	BMI1
Tissue_transglutaminase	TGM2
XPO1	XPO1
Beta-3_adrenergic_receptor	ADRB3
XPC_(gene)	XPC
Cyclin_T1	CCNT1
ELAV-like_protein_1	ELAVL1
HDAC3	HDAC3
Cystathionine_beta_synthase	CBS
CD28	CD28
IRF3	IRF3
Dipeptidyl_peptidase-4	DPP4
5-HT1A_receptor	HTR1A
IFNB1	IFNB1
MSH6	MSH6
Twist-related_protein_1	TWIST1
Beta-2_microglobulin	B2M
Plasmin	PLG
TSC2	TSC2
Coagulation_factor_II_receptor	F2R
H2AFX	H2AFX
IL12A	IL12A
MEFV	MEFV
Hepatic_lipase	LIPC
PTPN6	PTPN6
Thyrotropin_receptor	TSHR
ERBB3	ERBB3
CFLAR	CFLAR
Integrin_alpha_5	ITGA5
Neuroblastoma_RAS_viral_oncogene_homolog	NRAS
PARK7	PARK7
MYH9	MYH9
Protein_kinase_R	EIF2AK2
Aldosterone_synthase	CYP11B2
PRKCE	PRKCE
S100B	S100B
Transferrin	TF
BTRC_(gene)	BTRC
Galectin-1	LGALS1
PCAF	KAT2B
Aurora_B_kinase	AURKB
B-cell_activating_factor	TNFSF13B
Fibrinogen_alpha_chain	FGA
ADAM17	ADAM17
Fibrillin_1	FBN1
Granulin	GRN
SOX2	SOX2
Beta-secretase_1	BACE1
Glucose-6-phosphate_dehydrogenase	G6PD
Janus_kinase_1	JAK1
Nuclear_receptor_coactivator_3	NCOA3
Adrenomedullin	ADM
PIN1	PIN1
GP1BA	GP1BA
MYD88	MYD88
ZAP70	ZAP70
Glyceraldehyde_3-phosphate_dehydrogenase	GAPDH
STK11	STK11
Calcitonin	CALCA
Catalase	CAT
Haptoglobin	HP
21-Hydroxylase	CYP21A2
Glucocerebrosidase	GBA
MTRR_(gene)	MTRR
S-phase_kinase-associated_protein_1	SKP1
Coagulation_factor_XIII,_A1_polypeptide	F13A1
Interleukin-6_receptor	IL6R
ABCC1	ABCC1
Nucleolin	NCL
P70-S6_Kinase_1	RPS6KB1
Hepcidin	HAMP
Growth_hormone_receptor	GHR
ROCK1	ROCK1
Transferrin_receptor_1	TFRC
Suppressor_of_cytokine_signaling_1	SOCS1
PCSK9	PCSK9
Protease-activated_receptor_2	F2RL1
MAP3K7	MAP3K7
STUB1	STUB1
Cathepsin_B	CTSB
Sterol_regulatory_element-binding_protein_1	SREBF1
Melanocortin_1_receptor	MC1R
Calreticulin	CALR
Ran_(protein)	RAN
SMARCB1	SMARCB1
SNAI1	SNAI1
STAT5A	STAT5A
Fibroblast_growth_factor_23	FGF23
Death_receptor_5	TNFRSF10B
RBX1	RBX1
Collagen,_type_II,_alpha_1	COL2A1
FHIT	FHIT
Collagen,_type_I,_alpha_2	COL1A2
EIF4E	EIF4E
Y_box_binding_protein_1	YBX1
P2RX7	P2RX7
UCP2	UCP2
YWHAQ	YWHAQ
PTK2B	PTK2B
Cytochrome_b-245,_alpha_polypeptide	CYBA
Interferon_alpha-1	IFNA1
Indoleamine_2,3-dioxygenase	IDO1
Tropomyosin_receptor_kinase_A	NTRK1
CD34	CD34
NME1	NME1
PPP2CA	PPP2CA
TOP1	TOP1
BCL6	BCL6
Tetherin	BST2
Granulocyte-macrophage_colony-stimulating_factor	CSF2
ETS1	ETS1
PD-L1	CD274
NLRP3	NLRP3
Werner_syndrome_helicase	WRN
RNA-binding_protein_FUS	FUS
Peroxisome_proliferator-activated_receptor_delta	PPARD
SMN1	SMN1
Interleukin_1_receptor,_type_I	IL1R1
Nuclear_receptor_co-repressor_1	NCOR1
N-Myc	MYCN
TNNT2	TNNT2
UBE2D2	UBE2D2
Cyclin-dependent_kinase_5	CDK5
Multidrug_resistance-associated_protein_2	ABCC2
DNMT3B	DNMT3B
Neuropeptide_Y	NPY
S100A9	S100A9
Interleukin-23_receptor	IL23R
NFKB2	NFKB2
Proopiomelanocortin	POMC
PTPRC	PTPRC
Band_3_anion_transport_protein	SLC4A1
YWHAE	YWHAE
NKG2D	KLRK1
CRYAB	CRYAB
GPX1	GPX1
Interleukin_8_receptor,_beta	CXCR2
DKK1	DKK1
Adenosine_A2A_receptor	ADORA2A
Factor_X	F10
YWHAB	YWHAB
STAT6	STAT6
TNFAIP3	TNFAIP3
Nerve_growth_factor	NGF
Glucokinase	GCK
Syndecan_1	SDC1
YY1	YY1
Dicer	DICER1
Cyclin_A2	CCNA2
Cathepsin_D	CTSD
HLA-E	HLA-E
MEN1	MEN1
PDGFB	PDGFB
Heparanase	HPSE
KPNB1	KPNB1
Neprilysin	MME
Integrin_alpha_M	ITGAM
Tropomyosin_receptor_kinase_B	NTRK2
Thiopurine_methyltransferase	TPMT
Wilson_disease_protein	ATP7B
GRIN2B	GRIN2B
Thioredoxin	TXN
Pregnane_X_receptor	NR1I2
RUNX3	RUNX3
PTPN1	PTPN1
Retinol_binding_protein_4	RBP4
Interleukin_21	IL21
CYP2B6	CYP2B6
Karyopherin_alpha_2	KPNA2
Paxillin	PXN
Receptor_for_activated_C_kinase_1	GNB2L1
RIG-I	DDX58
CYP2A6	CYP2A6
CD31	PECAM1
AKT2	AKT2
ERG_(gene)	ERG
Low-affinity_nerve_growth_factor_receptor	NGFR
BECN1	BECN1
PINK1	PINK1
Bcl-2_homologous_antagonist_killer	BAK1
SCARB1	SCARB1
HLA-DRA	HLA-DRA
IRF1	IRF1
SIN3A	SIN3A
TNNI3	TNNI3
Filaggrin	FLG
Integrin-linked_kinase	ILK
Lipoprotein(a)	LPA
FADD	FADD
Nuclear_receptor_co-repressor_2	NCOR2
GATA3	GATA3
HNRNPA1	HNRNPA1
Mothers_against_decapentaplegic_homolog_7	SMAD7
PAX6	PAX6
RIPK1	RIPK1
Arrestin_beta_2	ARRB2
Phenylalanine_hydroxylase	PAH
Replication_protein_A1	RPA1
Ubiquitin_B	UBB
Angiopoietin_1	ANGPT1
Bruton's_tyrosine_kinase	BTK
DDB1	DDB1
SOX9	SOX9
STAT5B	STAT5B
UBE2D3	UBE2D3
Notch_3	NOTCH3
SRSF1	SRSF1
Arachidonate_5-lipoxygenase	ALOX5
Neural_cell_adhesion_molecule	NCAM1
Prolactin	PRL
PTGS1	PTGS1
CDX2	CDX2
CLTC	CLTC
CX3CR1	CX3CR1
5-HT2C_receptor	HTR2C
Parathyroid_hormone	PTH
HMGA2	HMGA2
CDH2	CDH2
GZMB	GZMB
CCL3	CCL3
Osteonectin	SPARC
MIR146A	MIR146A
Cyclin-dependent_kinase_6	CDK6
Eukaryotic_translation_elongation_factor_1_alpha_1	EEF1A1
Matrix_metallopeptidase_13	MMP13
Merlin_(protein)	NF2
Protein_kinase,_AMP-activated,_alpha_1	PRKAA1
TRPV1	TRPV1
Bloom_syndrome_protein	BLM
ERBB4	ERBB4
Fatty_acid_synthase	FASN
HNRNPK	HNRNPK
SUMO2	SUMO2
STIM1	STIM1
Thrombomodulin	THBD
TSG101	TSG101
HDAC6	HDAC6
Hemoglobin,_alpha_2	HBA2
POLG	POLG
Sex_hormone-binding_globulin	SHBG
Fibrinogen_gamma_chain	FGG
Integrin_alpha_4	ITGA4
Nav1.1	SCN1A
N-acetyltransferase_1	NAT1
Lactoferrin	LTF
Nuclear_receptor_coactivator_1	NCOA1
Solute_carrier_organic_anion_transporter_family_member_1B1	SLCO1B1
Adapter_molecule_crk	CRK
YAP1	YAP1
CSNK2B	CSNK2B
IGFBP1	IGFBP1
Thyroid_hormone_receptor_beta	THRB
miR-155	MIR155
Dopamine_receptor_D1	DRD1
Follicle-stimulating_hormone_receptor	FSHR
NEDD4	NEDD4
S100A4	S100A4
PSIP1	PSIP1
Annexin_A1	ANXA1
Proglucagon	GCG
TUBB	TUBB
Bcl-2-associated_death_promoter	BAD
CHRNA7	CHRNA7
IRAK1	IRAK1
Mothers_against_decapentaplegic_homolog_1	SMAD1
Liver_X_receptor_alpha	NR1H3
TPH2	TPH2
CD81	CD81
MUTYH	MUTYH
ID1	ID1
Interleukin-7_receptor	IL7R
MRE11A	MRE11A
Myocilin	MYOC
PKM2	PKM
Titin	TTN
Aquaporin_1	AQP1
Death-associated_protein_6	DAXX
Elastin	ELN
Ataxin_3	ATXN3
ACTG1	ACTG1
alpha-2-HS-glycoprotein	AHSG
Cofilin_1	CFL1
DEFB4A	DEFB4A
HSF1	HSF1
Amylin	IAPP
ABO_(gene)	ABO
AMH_(gene)	AMH
Cathelicidin	CAMP
CHI3L1	CHI3L1
ELANE	ELANE
HIST1H3A	HIST1H3A
Cav1.2	CACNA1C
Ryanodine_receptor_1	RYR1
TGF_beta_2	TGFB2
Bone_morphogenetic_protein_7	BMP7
P120_(protein)	CTNND1
Factor_IX	F9
MYB_(gene)	MYB
S100A8	S100A8
TAP1	TAP1
TIMP3	TIMP3
VAV1	VAV1
HIST3H3	HIST3H3
Baculoviral_IAP_repeat-containing_protein_2	BIRC2
Tyrosine-protein_kinase_CSK	CSK
Cortactin	CTTN
INHBA	INHBA
L1_(protein)	L1CAM
Integrin_alpha_6	ITGA6
Ubiquitin_carboxy-terminal_hydrolase_L1	UCHL1
WNT5A	WNT5A
KLF4	KLF4
Baculoviral_IAP_repeat-containing_protein_3	BIRC3
Caspase_1	CASP1
RNA-binding_protein_EWS	EWSR1
OLR1	OLR1
HDAC4	HDAC4
FBXW7	FBXW7
ADAM10	ADAM10
C-C_chemokine_receptor_type_7	CCR7
ERCC5	ERCC5
GATA1	GATA1
GLI1	GLI1
HMGA1	HMGA1
Atrial_natriuretic_peptide	NPPA
Renin	REN
HSPA1B	HSPA1B
HSP90AB1	HSP90AB1
ASK1	MAP3K5
PEDF	SERPINF1
TPH1	TPH1
NOX2	CYBB
Polycystin_1	PKD1
TLR7	TLR7
Corticotropin-releasing_hormone_receptor_1	CRHR1
CXCR3	CXCR3
Keratin_18	KRT18
MYH7	MYH7
Apolipoprotein_H	APOH
Erythropoietin_receptor	EPOR
Glycoprotein_130	IL6ST
Mitogen-activated_protein_kinase_9	MAPK9
KAT5	KAT5
Carbonic_anhydrase_9	CA9
PTCH1	PTCH1
TH_(gene)	TH
Tight_junction_protein_1	TJP1
ADD1	ADD1
ADH1C	ADH1C
11β-Hydroxysteroid_dehydrogenase_type_1	HSD11B1
Furin	FURIN
BH3_interacting-domain_death_agonist	BID
CDC20	CDC20
ETV6	ETV6
GNAQ	GNAQ
HCK	HCK
Prohibitin	PHB
PRKAR1A	PRKAR1A
SRD5A2	SRD5A2
TCF3	TCF3
BCAR1	BCAR1
Angiotensin-converting_enzyme_2	ACE2
Caspase_7	CASP7
EIF4EBP1	EIF4EBP1
Interleukin_5	IL5
Death_receptor_4	TNFRSF10A
A2M_(gene)	A2M
Alpha-2A_adrenergic_receptor	ADRA2A
Butyrylcholinesterase	BCHE
DNA_(cytosine-5)-methyltransferase_3A	DNMT3A
EPH_receptor_A2	EPHA2
MAD2L1	MAD2L1
IDH2	IDH2
PTX3	PTX3
Retinoic_acid_receptor_beta	RARB
CX3CL1	CX3CL1
TEK_tyrosine_kinase	TEK
TGFBI	TGFBI
Wiskott–Aldrich_syndrome_protein	WAS
Interleukin_7	IL7
Integrin_beta_4	ITGB4
SGK1	SGK1
Interleukin_33	IL33
Antithrombin	SERPINC1
LRP5	LRP5
SULT1A1	SULT1A1
HSP90B1	HSP90B1
Activation-induced_cytidine_deaminase	AICDA
Angiotensin_II_receptor_type_2	AGTR2
Collagen,_type_III,_alpha_1	COL3A1
Decay-accelerating_factor	CD55
FOXM1	FOXM1
Steroidogenic_factor_1	NR5A1
HLA-DRB5	HLA-DRB5
Tenascin_C	TNC
Microphthalmia-associated_transcription_factor	MITF
Lipoprotein-associated_phospholipase_A2	PLA2G7
Rad50	RAD50
TRIM28	TRIM28
COP9_constitutive_photomorphogenic_homolog_subunit_5	COPS5
Calnexin	CANX
CD247	CD247
CD86	CD86
PRKCQ	PRKCQ
Tissue_factor_pathway_inhibitor	TFPI
UBE2L3	UBE2L3
CUL4A	CUL4A
PDCD6IP	PDCD6IP
CD38	CD38
Pendrin	SLC26A4
PSMD4	PSMD4
DISC1	DISC1
CSNK2A2	CSNK2A2
Vitamin_D-binding_protein	GC
Glial_fibrillary_acidic_protein	GFAP
Integrin_alpha_3	ITGA3
Luteinizing_hormone/choriogonadotropin_receptor	LHCGR
NEDD8	NEDD8
PABPC1	PABPC1
TRIM5alpha	TRIM5
Cav2.1	CACNA1A
Activating_transcription_factor_2	ATF2
Keratin_8	KRT8
RAS_p21_protein_activator_1	RASA1
Surfactant_protein_D	SFTPD
ABCC8	ABCC8
TGF_alpha	TGFA
KEAP1	KEAP1
Diablo_homolog	DIABLO
ADAR	ADAR
BMPR2	BMPR2
GJB1	GJB1
HTRA1	HTRA1
Klotho_(biology)	KL
Adenosine_deaminase	ADA
Alpha-fetoprotein	AFP
Kisspeptin	KISS1
Protein_S	PROS1
NK2_homeobox_1	NKX2-1
TP53BP1	TP53BP1
XPA	XPA
IRS2	IRS2
GDF15	GDF15
AQP4	AQP4
Carboxypeptidase_B2	CPB2
Complement_receptor_1	CR1
Macrophage_colony-stimulating_factor	CSF1
GRIN1	GRIN1
KIR3DL1	KIR3DL1
CD46	CD46
Serum_amyloid_A1	SAA1
ALPL	ALPL
Chromogranin_A	CHGA
Eukaryotic_translation_initiation_factor_4_gamma_1	EIF4G1
Myelin_basic_protein	MBP
Stem_cell_factor	KITLG
Placental_growth_factor	PGF
Parathyroid_hormone-related_protein	PTHLH
Syndicat_des_éditeurs_de_logiciels_de_loisirs	SELL
Sp3_transcription_factor	SP3
Neuropilin_1	NRP1
CD24	CD24
JAG1	JAG1
ARF6	ARF6
TRAF3	TRAF3
TUBA1A	TUBA1A
G_protein-coupled_receptor_kinase_2	ADRBK1
Bradykinin_receptor_B2	BDKRB2
Endothelin_B_receptor	EDNRB
Janus_kinase_3	JAK3
PPP1CA	PPP1CA
PSEN2	PSEN2
RAP1A	RAP1A
RFC1	RFC1
HNF1B	HNF1B
ATP2A2	ATP2A2
DLG4	DLG4
Ectonucleotide_pyrophosphatase/phosphodiesterase_1	ENPP1
PON2	PON2
TAP2	TAP2
UBE3A	UBE3A
ERCC4	ERCC4
FLT4	FLT4
MDM4	MDM4
RBBP4	RBBP4
ELOC	TCEB1
PTTG1	PTTG1
MIR34A	MIR34A
ACTA2	ACTA2
Complement_component_5	C5
HSPA9	HSPA9
PSMC5	PSMC5
Rhodopsin	RHO
STAT4	STAT4
Cathepsin_L	CTSL
Integrin_alpha_L	ITGAL
EPCAM	EPCAM
Mineralocorticoid_receptor	NR3C2
Lymphoid_enhancer-binding_factor_1	LEF1
ACTC1	ACTC1
Annexin_A5	ANXA5
APOA4	APOA4
CYP2C8	CYP2C8
FGF1	FGF1
GATA4	GATA4
Stratifin	SFN
GRIN2A	GRIN2A
HNRNPA2B1	HNRNPA2B1
SOS1	SOS1
NEDD4L	NEDD4L
CD80	CD80
DAPK1	DAPK1
Decorin	DCN
Insulin-like_growth_factor_2_receptor	IGF2R
PLA2G4A	PLA2G4A
TAC1	TAC1
ZEB1	ZEB1
TRAF1	TRAF1
IQGAP1	IQGAP1
Sodium-hydrogen_antiporter_3_regulator_1	SLC9A3R1
